Node,Degree Centrality,PageRank,Betweenness Centrality
EngineeringMaterial,0.007614,0.046497,0.006326
EngineeringAssembly,0.006345,0.04596,9.5e-05
Steel,0.840102,0.045055,0.306528
Asymmetric,0.704315,0.037931,0.195478
MediumVolume,0.435279,0.023684,0.06454
LightWeight,0.423858,0.023079,0.070295
Medium,0.397208,0.021668,0.036966
Moderate,0.360406,0.019719,0.030078
Sparse,0.354061,0.019383,0.028215
SmallVolume,0.333756,0.018308,0.036432
MediumWeight,0.321066,0.017635,0.030685
SimpleRotor,0.313452,0.017165,0.018896
Low,0.312183,0.017165,0.018446
simple_rotor,0.312183,0.017165,0.018446
medium_rotor,0.307107,0.016896,0.015824
MediumRotor,0.308376,0.016896,0.016214
Symmetric,0.242386,0.013469,0.025194
High,0.23731,0.0132,0.015563
Dense,0.232234,0.012931,0.014751
HeavyWeight,0.201777,0.011318,0.010835
LargeVolume,0.177665,0.010041,0.009185
high_complexity_rotor,0.159898,0.0091,0.006765
HighComplexityRotor,0.161168,0.0091,0.007036
EngineeringFeature,0.003807,0.005446,3.8e-05
symmetric_rotor,0.090102,0.005404,0.001275
SymmetricRotor,0.091371,0.005404,0.001386
complex_assembly,0.077411,0.004732,0.000818
ComplexAssembly,0.07868,0.004732,0.0009
OtherEngineeringMaterial,0.043147,0.00285,0.001664
TopologyFeature,0.005076,0.002246,5.7e-05
Aluminum,0.02665,0.001977,0.000709
Wood,0.022843,0.001775,0.000592
StructuralFeature,0.003807,0.001708,1.3e-05
PhysicalFeature,0.003807,0.001708,1.3e-05
Plastic,0.020305,0.001641,0.00034
20421_38b63ca5,0.010152,0.000633,0.000107
21718_1551037b,0.010152,0.000633,9e-05
20585_09b72895,0.010152,0.000633,0.000158
21828_21ab2114,0.010152,0.000633,0.000158
20511_e1b972aa,0.010152,0.000633,6.3e-05
22671_fdd1b1e6,0.010152,0.000633,0.000108
21139_cd619b26,0.010152,0.000633,9.7e-05
23184_731e5af0,0.010152,0.000633,9.1e-05
20990_0a226634,0.010152,0.000633,0.000195
20628_e0551f7c,0.010152,0.000633,9.7e-05
20586_cbec2689,0.010152,0.000633,0.000151
21423_196855d1,0.010152,0.000633,0.00014
20182_71b9e491,0.010152,0.000633,7.6e-05
22981_93f268ae,0.010152,0.000633,0.000106
20989_d1b8b0f8,0.010152,0.000633,9.7e-05
20451_557fe5cd,0.010152,0.000633,0.000144
22825_f4c18d65,0.010152,0.000633,0.00014
20533_0a3e112b,0.010152,0.000633,0.000127
22196_e5bf8c9d,0.010152,0.000633,0.000141
21165_5cb2d287,0.010152,0.000633,0.00014
23101_6aec02ee,0.010152,0.000633,0.000104
22670_9353c710,0.010152,0.000633,0.000107
22414_14ead4a3,0.010152,0.000633,0.000158
21081_72fa4ad1,0.010152,0.000633,0.000117
22141_5db99710,0.010152,0.000633,0.000158
21257_770fee9a,0.010152,0.000633,0.000111
23152_6f2706c9,0.010152,0.000633,0.000118
20838_86c931be,0.010152,0.000633,0.000112
21790_aaf9224a,0.010152,0.000633,9.4e-05
23309_76dcf100,0.010152,0.000633,0.000125
20260_4a01a99d,0.010152,0.000633,0.000143
22472_f65d3470,0.010152,0.000633,9.1e-05
22154_24342da4,0.010152,0.000633,0.000111
22980_3cb3bcc8,0.010152,0.000633,6.3e-05
20421_83f66ddc,0.010152,0.000633,0.000149
21600_0027c6fc,0.010152,0.000633,8.8e-05
20478_c02790cb,0.010152,0.000633,9.1e-05
20477_633cca4f,0.010152,0.000633,0.000116
20225_4ce6d59b,0.010152,0.000633,0.000136
20797_78b83489,0.010152,0.000633,9.4e-05
23376_9b48819a,0.010152,0.000633,0.000158
22534_e899f645,0.010152,0.000633,6.3e-05
22079_31335df2,0.010152,0.000633,8.9e-05
22306_c3dca308,0.010152,0.000633,8.1e-05
23313_210c6783,0.010152,0.000633,6.3e-05
20817_ef63b1a7,0.010152,0.000633,0.000122
21337_062b39fa,0.010152,0.000633,0.000158
20860_b8e9a191,0.010152,0.000633,9.7e-05
22059_b7d76712,0.010152,0.000633,9.4e-05
21990_7bb6efcf,0.010152,0.000633,0.000111
22357_e2f7b060,0.010152,0.000633,9e-05
23021_047d1f8a,0.010152,0.000633,0.00014
20812_462bd352,0.010152,0.000633,9.5e-05
21119_4f5c95a6,0.010152,0.000633,0.000108
21174_861bd902,0.010152,0.000633,0.000117
22057_4947db57,0.010152,0.000633,0.000152
20858_15bdad00,0.010152,0.000633,9.4e-05
20384_767d849a,0.010152,0.000633,0.000111
22197_94c66357,0.010152,0.000633,0.000141
21610_5dcf1187,0.010152,0.000633,9.1e-05
22080_594bcb66,0.010152,0.000633,0.000203
21450_ea24ffcc,0.010152,0.000633,0.000158
20799_213bf924,0.010152,0.000633,0.000104
20504_c9e14c9d,0.010152,0.000633,0.000122
21533_8837772a,0.010152,0.000633,0.000129
20436_41b730a3,0.010152,0.000633,0.000108
20229_d1ae2ae3,0.010152,0.000633,9.7e-05
21244_d67bbabc,0.010152,0.000633,0.000111
23318_65e3a7c9,0.010152,0.000633,0.000141
21739_57582b8f,0.010152,0.000633,0.00013
21008_a3fec63b,0.010152,0.000633,7.6e-05
22064_e1ba20dd,0.010152,0.000633,9.1e-05
20609_69f28932,0.010152,0.000633,0.000161
20285_b64b1a7e,0.010152,0.000633,0.000118
21741_c6faf98e,0.010152,0.000633,0.000111
21377_19909a40,0.010152,0.000633,9.7e-05
23174_8ef93daf,0.010152,0.000633,6.3e-05
22448_1f21757a,0.010152,0.000633,6.3e-05
21621_711e1918,0.010152,0.000633,6.3e-05
22261_6efe61e3,0.010152,0.000633,0.000106
20495_e8e7e80c,0.010152,0.000633,9.1e-05
23282_a1b17daa,0.010152,0.000633,9e-05
22078_1758e9fc,0.010152,0.000633,0.000122
21744_5ae4d9d5,0.010152,0.000633,0.00013
22812_cf865ed1,0.010152,0.000633,0.000158
21566_ff590631,0.010152,0.000633,9.7e-05
21069_508a9947,0.010152,0.000633,9e-05
23467_9f431540,0.010152,0.000633,0.000125
22434_2ad62ed6,0.010152,0.000633,0.00016
22236_db209dff,0.010152,0.000633,0.000104
20951_2918f2fa,0.010152,0.000633,0.000108
21186_d1698d8c,0.010152,0.000633,0.000151
20959_d4905d19,0.010152,0.000633,0.000125
22589_2c8f7c0b,0.010152,0.000633,0.000108
22764_b884dce6,0.010152,0.000633,0.000153
23322_8f85d82d,0.010152,0.000633,6.3e-05
22067_624b28e3,0.010152,0.000633,0.000108
21005_9feee615,0.010152,0.000633,0.000137
23250_aa321310,0.010152,0.000633,0.000112
23155_d7305c5f,0.010152,0.000633,0.000104
22749_346e10ae,0.010152,0.000633,0.000108
20818_098cad7c,0.010152,0.000633,0.000117
7780_6c885e81,0.010152,0.000633,0.000158
21581_8f948e0b,0.010152,0.000633,9.1e-05
20186_f66e4ad3,0.010152,0.000633,0.000108
23235_f9ccb8b0,0.010152,0.000633,9e-05
22073_951645ae,0.010152,0.000633,0.000108
21528_a5d5490f,0.010152,0.000633,9.7e-05
23466_1cf60d09,0.010152,0.000633,9.7e-05
21467_67965037,0.010152,0.000633,0.000136
20165_2b088be5,0.010152,0.000633,0.000127
22581_406c16c4,0.010152,0.000633,9e-05
21781_5985da6d,0.010152,0.000633,0.000108
21267_35a558cc,0.010152,0.000633,0.000108
21849_a5f563a6,0.010152,0.000633,0.000117
20722_90d46353,0.010152,0.000633,9.4e-05
21613_d57e983a,0.010152,0.000633,9.1e-05
22251_88fd728c,0.010152,0.000633,9.4e-05
22313_3a8b93dc,0.010152,0.000633,9.4e-05
19518_f220b68a,0.010152,0.000633,9.8e-05
21859_35124f79,0.010152,0.000633,0.000111
22421_19401bdd,0.010152,0.000633,0.000125
22787_49022c32,0.010152,0.000633,9e-05
23103_66470b7e,0.010152,0.000633,0.000108
20505_017d4cc4,0.010152,0.000633,9.7e-05
23044_9a964a68,0.010152,0.000633,6.3e-05
20682_e208cc63,0.010152,0.000633,0.00016
21976_807c9b26,0.010152,0.000633,9.1e-05
21865_c190b734,0.010152,0.000633,0.00014
20426_79358492,0.010152,0.000633,0.000108
22076_20e8a107,0.010152,0.000633,0.000127
23217_7c6062e3,0.010152,0.000633,0.000117
23408_e5fd25ba,0.010152,0.000633,9.1e-05
22443_fa24c6f9,0.010152,0.000633,9.4e-05
21706_adfb2ece,0.010152,0.000633,6.3e-05
23265_07de6a0b,0.010152,0.000633,0.000108
21745_56cbe841,0.010152,0.000633,7.6e-05
20466_4b3e5186,0.010152,0.000633,0.000108
21695_1f33863f,0.010152,0.000633,0.000118
23213_3df3cb34,0.010152,0.000633,6.3e-05
22341_0f9c52ed,0.010152,0.000633,6.3e-05
