assembly_name,family,component_count,body_count,edge_count,face_count,vertex_count,mass,volume,surface_area,material,complexity_ratio,rotational_symmetry,geometric_complexity,source_file,json_found,properties_name,properties_vertex_count,properties_edge_count,properties_face_count,properties_loop_count,properties_shell_count,properties_body_count,properties_area,properties_volume,properties_density,properties_mass,properties_design_type,properties_likes_count,properties_comments_count,properties_views_count
21448_5646a1b6,simple_rotor,3,5.0,219.0,87.0,151.0,0.1534065350216913,19.54223376072501,0.0,Steel,2.5172413793103448,1,457.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21448_5646a1b6/assembly.json,True,Untitled,151,219,87,96,5,5,139.39872031245264,19.54223376072501,0.00785,0.15340653502169133,ParametricDesignType,0,0,496
22312_3f366a4a,symmetric_rotor,1,14.0,656.0,248.0,440.0,6.360785256082966,810.2911154245817,0.0,Steel,2.6451612903225805,1,1344.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22312_3f366a4a/assembly.json,True,Untitled,440,656,248,304,14,14,4869.019706664225,810.2911154245817,0.00785,6.360785256082966,ParametricDesignType,1,0,506
20756_75f43564,simple_rotor,3,2.0,147.0,67.0,89.0,0.0136551715244948,4.779930369789627,0.0,"Steel, Mild, Aluminum 6061",2.194029850746269,0,303.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20756_75f43564/assembly.json,True,Untitled,89,147,67,76,2,2,33.258835646709585,4.779930369789627,0.0028567720590239104,0.013655171524494834,ParametricDesignType,6,2,823
21708_e61bd657,complex_assembly,26,90.0,1789.0,772.0,1214.0,51.79057815693621,337497.6557103915,0.0,"Steel, Wood, Polyurethane Foam",2.3173575129533677,0,3775.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21708_e61bd657/assembly.json,True,Untitled,1214,1789,772,867,90,90,722195.032834366,337497.6557103915,0.00015345463081194844,51.79057815693621,ParametricDesignType,2,0,676
23311_ad36a9ec,simple_rotor,1,5.0,105.0,46.0,69.0,1.4034615878569097,178.78491565056177,0.0,Steel,2.282608695652174,0,220.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23311_ad36a9ec/assembly.json,True,Untitled,69,105,46,47,5,5,417.66812362484455,178.78491565056177,0.00785,1.4034615878569097,ParametricDesignType,0,0,371
22680_1f4026f6,medium_rotor,3,12.0,399.0,188.0,254.0,6.23206980259829,793.894242369209,0.0,Steel,2.122340425531915,0,841.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22680_1f4026f6/assembly.json,True,Untitled,254,399,188,222,12,12,3220.0990528615926,793.894242369209,0.00785,6.23206980259829,ParametricDesignType,2,0,1032
21265_7329c813,simple_rotor,1,2.0,101.0,51.0,76.0,0.9147685246391526,116.53102224702582,0.0,Steel,1.9803921568627452,0,228.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21265_7329c813/assembly.json,True,Untitled,76,101,51,89,2,2,265.44220884578954,116.53102224702582,0.00785,0.9147685246391526,ParametricDesignType,0,0,215
22832_731d3b9f,medium_rotor,7,34.0,543.0,285.0,392.0,0.753910239041522,625.6801457603831,0.0,"Steel, Wood, Brass",1.9052631578947368,0,1220.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22832_731d3b9f/assembly.json,True,Untitled,392,543,285,429,34,34,1820.1836354200811,625.6801457603831,0.0012049451211613917,0.753910239041522,ParametricDesignType,1,0,503
23476_705b76d1,medium_rotor,1,12.0,346.0,196.0,224.0,1.3322929414867692,167.88724872103847,0.0,"Titanium, Stainless Steel",1.7653061224489797,0,766.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23476_705b76d1/assembly.json,True,Untitled,224,346,196,262,12,12,846.0378724056768,167.88724872103847,0.007935641042641111,1.3322929414867692,ParametricDesignType,0,0,560
22131_6b4b60f8,simple_rotor,8,6.0,79.0,51.0,59.0,10.439197328925902,1329.8340546402424,0.0,Steel,1.5490196078431373,0,189.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22131_6b4b60f8/assembly.json,True,Untitled,59,79,51,76,7,6,1818.2551244047922,1329.8340546402424,0.00785,10.439197328925902,ParametricDesignType,0,0,614
20994_9c88b1ba,simple_rotor,3,2.0,54.0,25.0,38.0,0.1277410171552564,16.272741038886174,0.0,Steel,2.16,0,117.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20994_9c88b1ba/assembly.json,True,Untitled,38,54,25,34,2,2,274.7924832160452,16.272741038886174,0.00785,0.12774101715525646,ParametricDesignType,0,0,509
22026_62afa265,simple_rotor,1,3.0,84.0,33.0,56.0,0.1270884832052328,182.79951785715068,0.0,"Wood, Rubber, Silicone",2.5454545454545454,1,173.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22026_62afa265/assembly.json,True,Untitled,56,84,33,33,3,3,1144.744026001743,182.79951785715068,0.0006952342363645979,0.12708848320523283,ParametricDesignType,1,0,715
22021_520ec8c3,medium_rotor,13,29.0,342.0,228.0,298.0,0.3045645280151469,189.71244726899135,0.0,"Wood, Steel, Aluminum",1.5,0,868.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22021_520ec8c3/assembly.json,True,Untitled,298,342,228,426,29,29,479.7915981427929,189.71244726899138,0.0016054008706308444,0.30456452801514694,ParametricDesignType,0,0,205
20351_dc6e4e1e,complex_assembly,30,258.0,6203.0,2974.0,4254.0,2.224503193543919,283.3762029992252,0.0,"Steel, Mild",2.085743106926698,0,13431.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20351_dc6e4e1e/assembly.json,True,Untitled,4254,6203,2974,3703,258,258,3604.662428129706,283.3762029992252,0.007850000000000005,2.224503193543919,ParametricDesignType,7,5,978
22218_2f85f6ae,medium_rotor,10,9.0,278.0,155.0,209.0,9.40221309614378,1175.2766370179722,0.0,Stainless Steel,1.793548387096774,0,642.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22218_2f85f6ae/assembly.json,True,Untitled,209,278,155,250,9,9,1756.755593674391,1175.2766370179722,0.008,9.402213096143779,ParametricDesignType,0,0,432
21810_718ae2fe,simple_rotor,1,6.0,206.0,70.0,138.0,5.222655082364009,665.3063799189823,0.0,Steel,2.942857142857143,1,414.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21810_718ae2fe/assembly.json,True,Untitled,138,206,70,70,6,6,4468.618337508643,665.3063799189823,0.007849999999999998,5.222655082364009,ParametricDesignType,0,0,403
20215_e2eb3082,medium_rotor,9,13.0,577.0,256.0,404.0,0.7446153049976135,94.85545286593803,0.0,"Steel, Mild",2.25390625,0,1237.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20215_e2eb3082/assembly.json,True,Untitled,404,577,256,353,13,13,428.9601246745099,94.85545286593803,0.00785,0.7446153049976135,ParametricDesignType,0,0,185
