assembly_name,component_count,joint_count,body_count,mass,volume,edge_count,face_count,material
Untitled,9,0,13,0.7446153049976135,94.85545286593803,577,256,"Steel, Mild"
Untitled,1,0,3,329.95006825578696,42031.855828762666,52,24,"Steel, Mild"
Untitled,14,0,20,7.85613562612075,1004.9864417201959,3156,1263,"Steel, Mild"
Untitled,3,1,2,0.6733832410354295,85.78130459050058,42,18,"Steel, Mild"
Untitled,3,2,3,2.9143572915165366,371.25570592567345,68,32,"Steel, Mild"
Untitled,1,0,4,0.0342683543051454,8.86849257185893,151,64,"Acetal Resin, Black"
Untitled,3,0,1,1.2222250770622862,155.69746204615112,42,19,"Steel, Mild"
Untitled,1,0,110,16.344384998953494,2082.087261013184,4787,1914,"Steel, Mild"
Untitled,1,0,3,0.006971941537642651,0.8881454188079811,60,25,"Steel, Mild"
Untitled,11,4,12,0.03561596353626192,9.66304627855813,170,113,"Steel, Mild"
Untitled,6,0,5,1.5628557829154885,199.08990865165458,2082,971,"Steel, Mild"
Untitled,3,1,2,0.5093351290821112,189.64881425122124,87,39,"Aluminum, Anodized Red"
Untitled,1,0,2,0.0003421098676046699,0.04358087485409808,130,48,"Steel, Mild"
Untitled,7,0,22,351.2748928612268,44748.393995060695,299,175,"Steel, Mild"
Untitled,19,0,29,120.49164199097211,941231.9605183797,1357,565,"Steel, Mild"
Untitled,3,0,16,0.2588668902216643,244.21404737892863,2559,1087,ABS Plastic
Untitled,10,4,14,1.471106213511227,187.40206541544296,1318,565,"Steel, Mild"
Untitled,55,0,38,43.168520677998345,18786.03476698145,1358,656,"Steel, Mild"
Untitled,2,0,2,0.012582315970061967,11.870109405718837,23,13,ABS Plastic
Untitled,1,0,3,2.634273865644511,335.5762886171352,10,9,"Steel, Mild"
Untitled,5,0,4,0.19195237111975078,24.452531352834498,330,148,"Steel, Mild"
Untitled,8,0,8,3.2751506772667476,3275.1506772667476,64,26,Generic
Untitled,7,0,6,0.1204601872865391,24.724829581673983,954,354,"Steel, Mild"
Untitled,3,4,5,0.048845699877757096,6.318977991947876,159,73,"Steel, Alloy"
Untitled,8,0,10,8.021406322798743,1021.8352003565278,3419,1455,"Steel, Mild"
Untitled,3,1,1,1.2222250770622862,155.69746204615112,42,19,"Steel, Mild"
Untitled,27,36,167,6.141148072246107,3288.7493546946394,2424,1333,Stainless Steel
Untitled,40,9,38,173.66378748102298,304535.85350286635,628,288,Wood
Untitled,5,0,25,2.5743526414847553,810.8631646870265,1501,588,ABS Plastic
Untitled,1,0,3,0.5700932682660844,72.62334627593432,1273,481,"Steel, Mild"
Untitled,14,3,23,0.6896523942386898,167.21814574400832,4556,1718,"Steel, Mild"
Untitled,11,0,36,0.00018358113860728991,3059.685643454833,4221,1936,"Steel, Mild"
Untitled,1,0,5,0.04838436962605176,5.796778639744782,994,297,"Iron, Wrought"
Untitled,11,0,16,0.3841423272054571,100.1680993226523,624,311,"Steel, Mild"
Untitled,8,0,7,0.5898843646695517,84.5802315981893,251,105,"Steel, Mild"
Untitled,1,0,8,0.004171246653212607,3.249906331529261,324,157,Stainless Steel
Untitled,1,0,2,4.66458544932237,594.2147069200472,24,12,"Steel, Mild"
Untitled,1,0,10,1.1580280052424336e-05,193.00466754040565,415,196,"Steel, Mild"
Untitled,21,0,432,0.009937484811285023,1.2659216320108302,8632,3783,"Steel, Mild"
Untitled,1,0,12,1.17629308315704e-05,196.04884719284004,449,214,"Steel, Mild"
Untitled,3,1,2,0.1305597569067889,123.1695819875367,46,22,ABS Plastic
Untitled,1,0,2,0.008135962679759474,1.0364283668483407,61,27,Steel
Untitled,4,2,3,1.631889625565453,207.8840287344526,42,25,"Steel, Mild"
Untitled,9,0,21,16.37446123792233,2085.9186290346915,1395,652,"Steel, Mild"
Untitled,18,0,16,10.437570808479114,1329.626854583327,750,324,"Steel, Mild"
Untitled,7,0,24,0.00032393855034912295,0.04126605736931503,495,215,"Steel, Mild"
Untitled,1,0,13,6.577615054631445,837.912745812923,334,179,"Steel, Mild"
Untitled,10,0,6,0.04275764588010826,15.836165140780837,3840,1812,Aluminum
