assembly_name,family,component_count,body_count,edge_count,face_count,vertex_count,mass,volume,surface_area,material,complexity_ratio,rotational_symmetry,geometric_complexity,source_file
21448_5646a1b6,simple_rotor,3,5.0,219.0,87.0,151.0,0.15340653502169133,19.54223376072501,0.0,Steel,2.5172413793103448,1,457.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21448_5646a1b6/assembly.json
22312_3f366a4a,symmetric_rotor,1,14.0,656.0,248.0,440.0,6.360785256082966,810.2911154245817,0.0,Steel,2.6451612903225805,1,1344.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22312_3f366a4a/assembly.json
20756_75f43564,simple_rotor,3,2.0,147.0,67.0,89.0,0.013655171524494834,4.779930369789627,0.0,"Steel, Mild, Aluminum 6061",2.1940298507462686,0,303.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20756_75f43564/assembly.json
21708_e61bd657,complex_assembly,26,90.0,1789.0,772.0,1214.0,51.79057815693621,337497.6557103915,0.0,"Steel, Wood, Polyurethane Foam",2.3173575129533677,0,3775.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21708_e61bd657/assembly.json
23311_ad36a9ec,simple_rotor,1,5.0,105.0,46.0,69.0,1.4034615878569097,178.78491565056177,0.0,Steel,2.282608695652174,0,220.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23311_ad36a9ec/assembly.json
22680_1f4026f6,medium_rotor,3,12.0,399.0,188.0,254.0,6.23206980259829,793.894242369209,0.0,Steel,2.122340425531915,0,841.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22680_1f4026f6/assembly.json
21265_7329c813,simple_rotor,1,2.0,101.0,51.0,76.0,0.9147685246391526,116.53102224702582,0.0,Steel,1.9803921568627452,0,228.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21265_7329c813/assembly.json
22832_731d3b9f,medium_rotor,7,34.0,543.0,285.0,392.0,0.753910239041522,625.6801457603831,0.0,"Steel, Wood, Brass",1.9052631578947368,0,1220.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22832_731d3b9f/assembly.json
23476_705b76d1,medium_rotor,1,12.0,346.0,196.0,224.0,1.3322929414867692,167.88724872103847,0.0,"Titanium, Stainless Steel",1.7653061224489797,0,766.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23476_705b76d1/assembly.json
22131_6b4b60f8,simple_rotor,8,6.0,79.0,51.0,59.0,10.439197328925902,1329.8340546402424,0.0,Steel,1.5490196078431373,0,189.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22131_6b4b60f8/assembly.json
20994_9c88b1ba,simple_rotor,3,2.0,54.0,25.0,38.0,0.12774101715525646,16.272741038886174,0.0,Steel,2.16,0,117.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20994_9c88b1ba/assembly.json
22026_62afa265,simple_rotor,1,3.0,84.0,33.0,56.0,0.12708848320523283,182.79951785715068,0.0,"Wood, Rubber, Silicone",2.5454545454545454,1,173.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22026_62afa265/assembly.json
22021_520ec8c3,medium_rotor,13,29.0,342.0,228.0,298.0,0.30456452801514694,189.71244726899138,0.0,"Wood, Steel, Aluminum",1.5,0,868.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22021_520ec8c3/assembly.json
20351_dc6e4e1e,complex_assembly,30,258.0,6203.0,2974.0,4254.0,2.224503193543919,283.3762029992252,0.0,"Steel, Mild",2.085743106926698,0,13431.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20351_dc6e4e1e/assembly.json
22218_2f85f6ae,medium_rotor,10,9.0,278.0,155.0,209.0,9.402213096143779,1175.2766370179722,0.0,Stainless Steel,1.793548387096774,0,642.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22218_2f85f6ae/assembly.json
21810_718ae2fe,simple_rotor,1,6.0,206.0,70.0,138.0,5.222655082364009,665.3063799189823,0.0,Steel,2.942857142857143,1,414.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21810_718ae2fe/assembly.json
20215_e2eb3082,medium_rotor,9,13.0,577.0,256.0,404.0,0.7446153049976135,94.85545286593803,0.0,"Steel, Mild",2.25390625,0,1237.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/20215_e2eb3082/assembly.json
22561_067b78ae,symmetric_rotor,2,4.0,626.0,243.0,410.0,0.033222618790134974,1.5601919878534107,0.0,"Phenolic Resin, Platinum",2.5761316872427984,1,1279.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22561_067b78ae/assembly.json
21421_fb12b69b,complex_assembly,89,95.0,5152.0,2455.0,3532.0,4.119396720203721,1632.8409370843815,0.0,"Wood, Steel, Brass",2.0985743380855397,0,11139.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/21421_fb12b69b/assembly.json
22082_39503fa6,medium_rotor,22,56.0,1128.0,509.0,757.0,2.9355372303480243,373.9537873054807,0.0,Steel,2.2161100196463654,0,2394.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22082_39503fa6/assembly.json
23308_245d257c,medium_rotor,1,3.0,444.0,178.0,278.0,0.1244151336468581,15.84906161106473,0.0,Steel,2.49438202247191,0,900.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/23308_245d257c/assembly.json
22844_9b75b8e0,simple_rotor,1,3.0,63.0,32.0,46.0,0.1630665513237929,20.772809085833494,0.0,Steel,1.96875,0,141.0,/Users/ulukbekrahmanov/Desktop/fusion_subset/22844_9b75b8e0/assembly.json
