Subject,Predicate,Object
21448_5646a1b6,hasMaterial,Steel
21448_5646a1b6,belongsToFamily,simple_rotor
21448_5646a1b6,hasComplexityLevel,Low
21448_5646a1b6,hasTopology,Sparse
21448_5646a1b6,hasStructure,Symmetric
22312_3f366a4a,hasMaterial,Steel
22312_3f366a4a,belongsToFamily,symmetric_rotor
22312_3f366a4a,hasComplexityLevel,Medium
22312_3f366a4a,hasTopology,Moderate
22312_3f366a4a,hasStructure,Symmetric
20756_75f43564,hasMaterial,"Steel, Mild, Aluminum 6061"
20756_75f43564,belongsToFamily,simple_rotor
20756_75f43564,hasComplexityLevel,Low
20756_75f43564,hasTopology,Sparse
20756_75f43564,hasStructure,Asymmetric
21708_e61bd657,hasMaterial,"Steel, Wood, Polyurethane Foam"
21708_e61bd657,belongsToFamily,complex_assembly
21708_e61bd657,hasComplexityLevel,High
21708_e61bd657,hasTopology,Dense
21708_e61bd657,hasStructure,Asymmetric
23311_ad36a9ec,hasMaterial,Steel
23311_ad36a9ec,belongsToFamily,simple_rotor
23311_ad36a9ec,hasComplexityLevel,Low
23311_ad36a9ec,hasTopology,Sparse
23311_ad36a9ec,hasStructure,Asymmetric
22680_1f4026f6,hasMaterial,Steel
22680_1f4026f6,belongsToFamily,medium_rotor
22680_1f4026f6,hasComplexityLevel,Medium
22680_1f4026f6,hasTopology,Moderate
22680_1f4026f6,hasStructure,Asymmetric
21265_7329c813,hasMaterial,Steel
21265_7329c813,belongsToFamily,simple_rotor
21265_7329c813,hasComplexityLevel,Low
21265_7329c813,hasTopology,Sparse
21265_7329c813,hasStructure,Asymmetric
22832_731d3b9f,hasMaterial,"Steel, Wood, Brass"
22832_731d3b9f,belongsToFamily,medium_rotor
22832_731d3b9f,hasComplexityLevel,Medium
22832_731d3b9f,hasTopology,Moderate
22832_731d3b9f,hasStructure,Asymmetric
23476_705b76d1,hasMaterial,"Titanium, Stainless Steel"
23476_705b76d1,belongsToFamily,medium_rotor
23476_705b76d1,hasComplexityLevel,Medium
23476_705b76d1,hasTopology,Moderate
23476_705b76d1,hasStructure,Asymmetric
22131_6b4b60f8,hasMaterial,Steel
22131_6b4b60f8,belongsToFamily,simple_rotor
22131_6b4b60f8,hasComplexityLevel,Low
22131_6b4b60f8,hasTopology,Sparse
22131_6b4b60f8,hasStructure,Asymmetric
20994_9c88b1ba,hasMaterial,Steel
20994_9c88b1ba,belongsToFamily,simple_rotor
20994_9c88b1ba,hasComplexityLevel,Low
20994_9c88b1ba,hasTopology,Sparse
20994_9c88b1ba,hasStructure,Asymmetric
22026_62afa265,hasMaterial,"Wood, Rubber, Silicone"
22026_62afa265,belongsToFamily,simple_rotor
22026_62afa265,hasComplexityLevel,Low
22026_62afa265,hasTopology,Sparse
22026_62afa265,hasStructure,Symmetric
22021_520ec8c3,hasMaterial,"Wood, Steel, Aluminum"
22021_520ec8c3,belongsToFamily,medium_rotor
22021_520ec8c3,hasComplexityLevel,Medium
22021_520ec8c3,hasTopology,Moderate
22021_520ec8c3,hasStructure,Asymmetric
20351_dc6e4e1e,hasMaterial,"Steel, Mild"
20351_dc6e4e1e,belongsToFamily,complex_assembly
20351_dc6e4e1e,hasComplexityLevel,High
20351_dc6e4e1e,hasTopology,Dense
20351_dc6e4e1e,hasStructure,Asymmetric
22218_2f85f6ae,hasMaterial,Stainless Steel
22218_2f85f6ae,belongsToFamily,medium_rotor
22218_2f85f6ae,hasComplexityLevel,Medium
22218_2f85f6ae,hasTopology,Sparse
22218_2f85f6ae,hasStructure,Asymmetric
21810_718ae2fe,hasMaterial,Steel
21810_718ae2fe,belongsToFamily,simple_rotor
21810_718ae2fe,hasComplexityLevel,Low
21810_718ae2fe,hasTopology,Sparse
21810_718ae2fe,hasStructure,Symmetric
20215_e2eb3082,hasMaterial,"Steel, Mild"
20215_e2eb3082,belongsToFamily,medium_rotor
20215_e2eb3082,hasComplexityLevel,Medium
20215_e2eb3082,hasTopology,Moderate
20215_e2eb3082,hasStructure,Asymmetric
22561_067b78ae,hasMaterial,"Phenolic Resin, Platinum"
22561_067b78ae,belongsToFamily,symmetric_rotor
22561_067b78ae,hasComplexityLevel,Medium
22561_067b78ae,hasTopology,Moderate
22561_067b78ae,hasStructure,Symmetric
21421_fb12b69b,hasMaterial,"Wood, Steel, Brass"
21421_fb12b69b,belongsToFamily,complex_assembly
21421_fb12b69b,hasComplexityLevel,High
21421_fb12b69b,hasTopology,Dense
21421_fb12b69b,hasStructure,Asymmetric
22082_39503fa6,hasMaterial,Steel
22082_39503fa6,belongsToFamily,medium_rotor
22082_39503fa6,hasComplexityLevel,Medium
22082_39503fa6,hasTopology,Moderate
22082_39503fa6,hasStructure,Asymmetric
23308_245d257c,hasMaterial,Steel
23308_245d257c,belongsToFamily,medium_rotor
23308_245d257c,hasComplexityLevel,Medium
23308_245d257c,hasTopology,Moderate
23308_245d257c,hasStructure,Asymmetric
22844_9b75b8e0,hasMaterial,Steel
22844_9b75b8e0,belongsToFamily,simple_rotor
22844_9b75b8e0,hasComplexityLevel,Low
22844_9b75b8e0,hasTopology,Sparse
22844_9b75b8e0,hasStructure,Asymmetric
20408_b4fda9eb,hasMaterial,"Steel, Mild"
20408_b4fda9eb,belongsToFamily,medium_rotor
20408_b4fda9eb,hasComplexityLevel,Medium
20408_b4fda9eb,hasTopology,Moderate
20408_b4fda9eb,hasStructure,Asymmetric
21326_ab4d6c43,hasMaterial,Steel
21326_ab4d6c43,belongsToFamily,simple_rotor
21326_ab4d6c43,hasComplexityLevel,Low
21326_ab4d6c43,hasTopology,Sparse
21326_ab4d6c43,hasStructure,Asymmetric
22211_b1ee53f0,hasMaterial,Steel
22211_b1ee53f0,belongsToFamily,complex_assembly
22211_b1ee53f0,hasComplexityLevel,High
22211_b1ee53f0,hasTopology,Dense
22211_b1ee53f0,hasStructure,Symmetric
23211_3aac9c7e,hasMaterial,Wood
23211_3aac9c7e,belongsToFamily,simple_rotor
23211_3aac9c7e,hasComplexityLevel,Low
23211_3aac9c7e,hasTopology,Sparse
23211_3aac9c7e,hasStructure,Asymmetric
20676_9715ec9c,hasMaterial,ABS Plastic
20676_9715ec9c,belongsToFamily,medium_rotor
20676_9715ec9c,hasComplexityLevel,Medium
20676_9715ec9c,hasTopology,Moderate
20676_9715ec9c,hasStructure,Asymmetric
20220_3de82b2a,hasMaterial,"Steel, Mild"
20220_3de82b2a,belongsToFamily,simple_rotor
20220_3de82b2a,hasComplexityLevel,Low
20220_3de82b2a,hasTopology,Sparse
20220_3de82b2a,hasStructure,Asymmetric
22776_facf9bcf,hasMaterial,Steel
22776_facf9bcf,belongsToFamily,medium_rotor
22776_facf9bcf,hasComplexityLevel,Medium
22776_facf9bcf,hasTopology,Moderate
22776_facf9bcf,hasStructure,Asymmetric
21837_b67d788c,hasMaterial,Steel
21837_b67d788c,belongsToFamily,medium_rotor
21837_b67d788c,hasComplexityLevel,Medium
21837_b67d788c,hasTopology,Moderate
21837_b67d788c,hasStructure,Asymmetric
20668_b2f2633e,hasMaterial,Steel
20668_b2f2633e,belongsToFamily,high_complexity_rotor
20668_b2f2633e,hasComplexityLevel,High
20668_b2f2633e,hasTopology,Dense
20668_b2f2633e,hasStructure,Asymmetric
21459_a9de5e5b,hasMaterial,"Steel, Mild, Acetal Resin, Black, Magnesium"
