Subject,Predicate,Object
SimpleRotor,rdfs:subClassOf,EngineeringAssembly
SymmetricRotor,rdfs:subClassOf,EngineeringAssembly
MediumRotor,rdfs:subClassOf,EngineeringAssembly
HighComplexityRotor,rdfs:subClassOf,EngineeringAssembly
ComplexAssembly,rdfs:subClassOf,EngineeringAssembly
Steel,rdfs:subClassOf,EngineeringMaterial
Aluminum,rdfs:subClassOf,EngineeringMaterial
Plastic,rdfs:subClassOf,EngineeringMaterial
Wood,rdfs:subClassOf,EngineeringMaterial
Composite,rdfs:subClassOf,EngineeringMaterial
OtherEngineeringMaterial,rdfs:subClassOf,EngineeringMaterial
TopologyFeature,rdfs:subClassOf,EngineeringFeature
PhysicalFeature,rdfs:subClassOf,EngineeringFeature
StructuralFeature,rdfs:subClassOf,EngineeringFeature
EdgeCount,rdfs:subClassOf,TopologyFeature
FaceCount,rdfs:subClassOf,TopologyFeature
GeometricComplexity,rdfs:subClassOf,TopologyFeature
Mass,rdfs:subClassOf,PhysicalFeature
Volume,rdfs:subClassOf,PhysicalFeature
ComponentCount,rdfs:subClassOf,StructuralFeature
RotationalSymmetry,rdfs:subClassOf,StructuralFeature
21448_5646a1b6,rdf:type,SimpleRotor
21448_5646a1b6,hasMaterial,Steel
21448_5646a1b6,belongsToFamily,simple_rotor
21448_5646a1b6,hasComplexityLevel,Low
21448_5646a1b6,hasTopology,Sparse
21448_5646a1b6,hasStructure,Symmetric
21448_5646a1b6,hasMassCategory,LightWeight
21448_5646a1b6,hasVolumeCategory,SmallVolume
22312_3f366a4a,rdf:type,SymmetricRotor
22312_3f366a4a,hasMaterial,Steel
22312_3f366a4a,belongsToFamily,symmetric_rotor
22312_3f366a4a,hasComplexityLevel,Medium
22312_3f366a4a,hasTopology,Moderate
22312_3f366a4a,hasStructure,Symmetric
22312_3f366a4a,hasMassCategory,MediumWeight
22312_3f366a4a,hasVolumeCategory,MediumVolume
20756_75f43564,rdf:type,SimpleRotor
20756_75f43564,hasMaterial,Steel
20756_75f43564,belongsToFamily,simple_rotor
20756_75f43564,hasComplexityLevel,Low
20756_75f43564,hasTopology,Sparse
20756_75f43564,hasStructure,Asymmetric
20756_75f43564,hasMassCategory,LightWeight
20756_75f43564,hasVolumeCategory,SmallVolume
21708_e61bd657,rdf:type,ComplexAssembly
21708_e61bd657,hasMaterial,Steel
21708_e61bd657,belongsToFamily,complex_assembly
21708_e61bd657,hasComplexityLevel,High
21708_e61bd657,hasTopology,Dense
21708_e61bd657,hasStructure,Asymmetric
21708_e61bd657,hasMassCategory,HeavyWeight
21708_e61bd657,hasVolumeCategory,LargeVolume
23311_ad36a9ec,rdf:type,SimpleRotor
23311_ad36a9ec,hasMaterial,Steel
23311_ad36a9ec,belongsToFamily,simple_rotor
23311_ad36a9ec,hasComplexityLevel,Low
23311_ad36a9ec,hasTopology,Sparse
23311_ad36a9ec,hasStructure,Asymmetric
23311_ad36a9ec,hasMassCategory,MediumWeight
23311_ad36a9ec,hasVolumeCategory,MediumVolume
22680_1f4026f6,rdf:type,MediumRotor
22680_1f4026f6,hasMaterial,Steel
22680_1f4026f6,belongsToFamily,medium_rotor
22680_1f4026f6,hasComplexityLevel,Medium
22680_1f4026f6,hasTopology,Moderate
22680_1f4026f6,hasStructure,Asymmetric
22680_1f4026f6,hasMassCategory,MediumWeight
22680_1f4026f6,hasVolumeCategory,MediumVolume
21265_7329c813,rdf:type,SimpleRotor
21265_7329c813,hasMaterial,Steel
21265_7329c813,belongsToFamily,simple_rotor
21265_7329c813,hasComplexityLevel,Low
21265_7329c813,hasTopology,Sparse
21265_7329c813,hasStructure,Asymmetric
21265_7329c813,hasMassCategory,LightWeight
21265_7329c813,hasVolumeCategory,MediumVolume
22832_731d3b9f,rdf:type,MediumRotor
22832_731d3b9f,hasMaterial,Steel
22832_731d3b9f,belongsToFamily,medium_rotor
22832_731d3b9f,hasComplexityLevel,Medium
22832_731d3b9f,hasTopology,Moderate
22832_731d3b9f,hasStructure,Asymmetric
22832_731d3b9f,hasMassCategory,LightWeight
22832_731d3b9f,hasVolumeCategory,MediumVolume
23476_705b76d1,rdf:type,MediumRotor
23476_705b76d1,hasMaterial,Steel
23476_705b76d1,belongsToFamily,medium_rotor
23476_705b76d1,hasComplexityLevel,Medium
23476_705b76d1,hasTopology,Moderate
23476_705b76d1,hasStructure,Asymmetric
23476_705b76d1,hasMassCategory,MediumWeight
23476_705b76d1,hasVolumeCategory,MediumVolume
22131_6b4b60f8,rdf:type,SimpleRotor
22131_6b4b60f8,hasMaterial,Steel
22131_6b4b60f8,belongsToFamily,simple_rotor
22131_6b4b60f8,hasComplexityLevel,Low
22131_6b4b60f8,hasTopology,Sparse
22131_6b4b60f8,hasStructure,Asymmetric
22131_6b4b60f8,hasMassCategory,MediumWeight
22131_6b4b60f8,hasVolumeCategory,MediumVolume
20994_9c88b1ba,rdf:type,SimpleRotor
20994_9c88b1ba,hasMaterial,Steel
20994_9c88b1ba,belongsToFamily,simple_rotor
20994_9c88b1ba,hasComplexityLevel,Low
20994_9c88b1ba,hasTopology,Sparse
20994_9c88b1ba,hasStructure,Asymmetric
20994_9c88b1ba,hasMassCategory,LightWeight
20994_9c88b1ba,hasVolumeCategory,SmallVolume
22026_62afa265,rdf:type,SimpleRotor
22026_62afa265,hasMaterial,Wood
22026_62afa265,belongsToFamily,simple_rotor
22026_62afa265,hasComplexityLevel,Low
22026_62afa265,hasTopology,Sparse
22026_62afa265,hasStructure,Symmetric
22026_62afa265,hasMassCategory,LightWeight
22026_62afa265,hasVolumeCategory,MediumVolume
22021_520ec8c3,rdf:type,MediumRotor
22021_520ec8c3,hasMaterial,Steel
22021_520ec8c3,belongsToFamily,medium_rotor
22021_520ec8c3,hasComplexityLevel,Medium
22021_520ec8c3,hasTopology,Moderate
22021_520ec8c3,hasStructure,Asymmetric
22021_520ec8c3,hasMassCategory,LightWeight
22021_520ec8c3,hasVolumeCategory,MediumVolume
20351_dc6e4e1e,rdf:type,ComplexAssembly
20351_dc6e4e1e,hasMaterial,Steel
