assembly_name,neighbor_1,hybrid_sim_1,neighbor_2,hybrid_sim_2,neighbor_3,hybrid_sim_3,neighbor_4,hybrid_sim_4,neighbor_5,hybrid_sim_5
16550_e88d6986,23163_7b143a6f,1.0,22178_976d2411,1.0,23199_75dc1efd,0.999999,21062_c4ed6d45,0.999999,22839_113f2990,0.999998
19051_26735260,21809_8bd6b10e,0.91963,21762_90d34d16,0.91823,21024_9be3d461,0.917647,20293_a1999339,0.917326,20701_6dcbc975,0.916686
19518_f220b68a,20947_115d4058,0.998042,22180_ce7c3bd8,0.919989,22747_3f6faf4c,0.919943,21911_429c1a72,0.919933,20646_4cd14a72,0.919857
19566_19d85d3b,21744_5ae4d9d5,0.919712,22890_4ecfa491,0.91918,20500_e88d8065,0.9191,20293_a1999339,0.918826,20668_b2f2633e,0.918741
19596_fb9531a5,22417_4a15d62e,0.919765,22168_a84560a9,0.919752,21081_72fa4ad1,0.919687,21511_d07c59c2,0.919675,23467_9f431540,0.919631
19810_f77c5501,20163_3742f394,0.999565,20215_e2eb3082,0.997832,20239_49b65a55,0.996519,20628_e0551f7c,0.996111,20989_d1b8b0f8,0.996094
20141_b9376856,20989_d1b8b0f8,0.998847,20899_a8d7c6d5,0.9971,20215_e2eb3082,0.996692,19810_f77c5501,0.995788,20239_49b65a55,0.994543
20157_db99ab88,20504_c9e14c9d,0.999265,20414_a33bd0d7,0.99628,20239_49b65a55,0.919713,21048_75cc125c,0.919596,20215_e2eb3082,0.919249
20163_3742f394,19810_f77c5501,0.999565,20215_e2eb3082,0.995962,20628_e0551f7c,0.99505,20239_49b65a55,0.994923,20141_b9376856,0.994071
20165_2b088be5,20260_4a01a99d,0.994502,20293_a1999339,0.994341,20500_e88d8065,0.987181,20622_38dd90d0,0.986549,20533_0a3e112b,0.965119
20176_a02bde39,20440_27177360,0.951774,21590_7d092186,0.918869,22440_014f1bac,0.917751,22919_3ee91d1a,0.917258,22666_bdaa1303,0.915286
20182_71b9e491,22778_7d85debd,0.919969,20505_017d4cc4,0.919916,22612_28fe0ac2,0.919751,23049_207a41f0,0.919748,20688_955aae0c,0.919715
20186_f66e4ad3,20756_75f43564,0.91997,23341_d5ead6d2,0.919969,22227_aca28ff2,0.919969,21469_abec26c4,0.919965,23215_08a54de0,0.919965
20188_98b86c0f,20340_86125547,0.999962,22498_b8bdb105,0.999913,21785_d595ced5,0.999876,20478_c02790cb,0.919989,20436_41b730a3,0.919988
20193_2da4f0a0,20332_0c2a24aa,0.99999,20241_8c0d3f83,0.999984,20241_ccb70dc8,0.999984,20478_c02790cb,0.999928,20259_de1ab632,0.999829
20212_5d1f2de1,20812_462bd352,0.919996,20468_1c33550a,0.919995,21140_8d150c65,0.919995,21617_ddd3657b,0.919992,21614_5d6afa62,0.919992
20215_e2eb3082,20239_49b65a55,0.99946,20989_d1b8b0f8,0.999031,20281_a29f9a18,0.998756,19810_f77c5501,0.997832,20628_e0551f7c,0.997591
20216_89b90993,20989_885bd9b9,0.999989,20429_419c4cdd,0.999919,20989_a261efa3,0.999824,20429_9dd95c38,0.99974,20451_557fe5cd,0.997598
20220_3de82b2a,20342_c140780b,0.999998,20392_8b23d193,0.999997,20479_77930584,0.999994,20231_f54462bb,0.999993,20376_eefa9511,0.999993
20225_4ce6d59b,21692_777db9e2,0.919732,21037_62248d34,0.919054,20926_4c0f33f6,0.919002,22155_ab18f2b6,0.918981,22057_4947db57,0.918963
20229_d1ae2ae3,20408_b4fda9eb,0.919992,23505_161e8ec5,0.919988,22066_308cdcfe,0.919984,21594_428d32af,0.919977,20849_9821b6fe,0.919972
20231_f54462bb,20376_eefa9511,1.0,20479_77930584,1.0,20392_8b23d193,0.999998,20466_4b3e5186,0.999997,20429_4c909f3f,0.999996
20232_e5b060d9,23209_1592b0a4,0.919966,23210_f535bfd2,0.919964,23219_40625e2c,0.919926,22270_c6999138,0.919881,23211_3aac9c7e,0.91976
20237_06b27bf5,20502_58b65de9,0.996462,21828_21ab2114,0.91994,22365_a4eb929c,0.919902,22399_97987ada,0.919896,22812_cf865ed1,0.919863
20239_49b65a55,20215_e2eb3082,0.99946,20281_a29f9a18,0.998776,20628_e0551f7c,0.998537,20511_e1b972aa,0.998245,20329_414757bb,0.998216
20241_8c0d3f83,20241_ccb70dc8,1.0,20332_0c2a24aa,0.999997,20193_2da4f0a0,0.999984,20478_c02790cb,0.999937,20429_4c909f3f,0.999805
20241_ccb70dc8,20241_8c0d3f83,1.0,20332_0c2a24aa,0.999997,20193_2da4f0a0,0.999984,20478_c02790cb,0.999937,20429_4c909f3f,0.999805
20245_f1b25d43,22417_4a15d62e,0.986743,20745_3e22ad07,0.977587,21924_bbd9f7a9,0.919668,23154_7c74d190,0.91874,22428_c1ffa51a,0.918475
20246_40be7668,20351_dc6e4e1e,0.986998,23422_f214bd4d,0.8967,22483_f4e4b62a,0.879463,20533_0a3e112b,0.865209,7778_3a9748b3,0.864566
20259_de1ab632,20495_e8e7e80c,0.999845,20193_2da4f0a0,0.999829,20241_8c0d3f83,0.999796,20241_ccb70dc8,0.999796,20332_0c2a24aa,0.999785
20260_4a01a99d,20165_2b088be5,0.994502,20293_a1999339,0.985148,20622_38dd90d0,0.982397,20533_0a3e112b,0.981983,20500_e88d8065,0.976949
20278_d442e77d,22085_e039a7d3,0.919021,22046_fe3bae6e,0.918171,22666_bdaa1303,0.916202,21590_7d092186,0.912141,22440_014f1bac,0.91084
20279_aed6b3b3,20818_098cad7c,0.919728,21805_2ba39d00,0.919442,21797_69df08d5,0.919023,20959_d4905d19,0.918407,22331_152ee5c0,0.918154
20281_a29f9a18,20408_b4fda9eb,0.999182,20387_0d507234,0.998979,20329_414757bb,0.998854,20239_49b65a55,0.998776,20215_e2eb3082,0.998756
20285_b64b1a7e,21737_87d83240,0.919963,22061_b50b6b66,0.919962,20421_83f66ddc,0.919934,21625_d5d4c9a7,0.919833,22078_1758e9fc,0.919499
20287_072b5bf6,21762_90d34d16,0.917928,20260_4a01a99d,0.917794,21656_964b0c84,0.916136,21580_b8b2571b,0.916102,20165_2b088be5,0.915995
20291_42287610,20469_b6211bfd,0.999996,20220_3de82b2a,0.999986,20342_c140780b,0.999984,20392_8b23d193,0.99998,20231_f54462bb,0.999978
20293_a1999339,20500_e88d8065,0.997678,20622_38dd90d0,0.99506,20165_2b088be5,0.994341,20260_4a01a99d,0.985148,20533_0a3e112b,0.94941
20319_9f53cd7c,21028_d4d30a2e,0.91955,22534_e899f645,0.9194,22011_0832eefe,0.919334,23176_1bf2a2d5,0.919264,21626_b34008e6,0.919112
20322_5a8c6077,20322_daa5c577,0.999978,23214_0c411aa1,0.919991,21594_428d32af,0.919989,23434_6635ed57,0.91998,20676_9715ec9c,0.91998
20322_daa5c577,20322_5a8c6077,0.999978,22826_199df203,0.919983,23476_705b76d1,0.919977,20676_9715ec9c,0.919969,23434_6635ed57,0.919962
20329_414757bb,20511_e1b972aa,0.999958,20408_b4fda9eb,0.999845,20387_0d507234,0.999493,20628_e0551f7c,0.99938,20281_a29f9a18,0.998854
20332_0c2a24aa,20241_8c0d3f83,0.999997,20241_ccb70dc8,0.999997,20193_2da4f0a0,0.99999,20478_c02790cb,0.999949,20392_8b23d193,0.999825
20340_86125547,20188_98b86c0f,0.999962,22498_b8bdb105,0.999774,21785_d595ced5,0.999751,20994_9c88b1ba,0.92,20332_0c2a24aa,0.919997
20341_6a1588fb,20814_5a2be0fb,0.92,22374_aa5bb54d,0.919999,20802_802b7d69,0.919999,20803_473c87ac,0.919997,20994_9c88b1ba,0.919996
20342_c140780b,20392_8b23d193,0.999999,20220_3de82b2a,0.999998,20376_eefa9511,0.999995,20231_f54462bb,0.999995,20479_77930584,0.999995
20349_a12428da,23044_9a964a68,0.887734,22046_fe3bae6e,0.859292,20278_d442e77d,0.84739,22085_e039a7d3,0.831183,22666_bdaa1303,0.81563
20351_dc6e4e1e,20246_40be7668,0.986998,23422_f214bd4d,0.913744,22483_f4e4b62a,0.91128,22079_31335df2,0.899813,22492_047b125b,0.897541
20376_eefa9511,20231_f54462bb,1.0,20479_77930584,1.0,20392_8b23d193,0.999998,20466_4b3e5186,0.999997,20429_4c909f3f,0.999996
20384_767d849a,20451_557fe5cd,0.996511,20451_84d8b290,0.996511,20989_a261efa3,0.991003,20429_419c4cdd,0.990104,20989_885bd9b9,0.988633
20385_f2d30908,21047_60d69af3,0.92,22907_ff18dbd5,0.92,22668_9c30f6c0,0.919999,22902_83870421,0.919999,20741_c337946f,0.919998
20387_0d507234,20408_b4fda9eb,0.999775,20329_414757bb,0.999493,20511_e1b972aa,0.999223,20628_e0551f7c,0.999071,20281_a29f9a18,0.998979
20389_c835706f,20421_38b63ca5,0.997332,20421_49bd1188,0.994709,20520_7e357152,0.992841,20858_15bdad00,0.919918,20735_fb18051a,0.91986
20392_8b23d193,20342_c140780b,0.999999,20376_eefa9511,0.999998,20231_f54462bb,0.999998,20479_77930584,0.999998,20220_3de82b2a,0.999997
20406_dacb0300,20468_1c33550a,0.999729,20469_b6211bfd,0.999714,20488_589ac9c0,0.999705,20291_42287610,0.999699,20220_3de82b2a,0.999627
20408_b4fda9eb,20329_414757bb,0.999845,20387_0d507234,0.999775,20511_e1b972aa,0.99974,20281_a29f9a18,0.999182,20628_e0551f7c,0.998958
20409_dafedec6,23194_b675acc0,0.993598,20429_4c909f3f,0.919998,22178_976d2411,0.919997,23163_7b143a6f,0.919997,16550_e88d6986,0.919997
20412_42170125,20810_f6674f2d,0.919997,21785_d595ced5,0.919997,22653_58d6287d,0.919996,21761_fdb5f86d,0.919996,20910_c64b5d1b,0.919996
20414_a33bd0d7,20157_db99ab88,0.99628,20504_c9e14c9d,0.995519,23354_8182b4eb,0.919962,20408_b4fda9eb,0.91995,23238_3c864758,0.919945
20419_8ce893b6,20225_4ce6d59b,0.917643,21692_777db9e2,0.916165,21037_62248d34,0.914653,22057_4947db57,0.914138,22892_68138f24,0.913934
20421_0fd51709,22027_11a2e852,0.999148,20477_633cca4f,0.998941,21685_93737a7a,0.991083,23329_6939d5d9,0.91997,20697_d3e106b4,0.919955
20421_38b63ca5,20421_49bd1188,0.998717,20389_c835706f,0.997332,20520_7e357152,0.996186,22035_101c7ab4,0.91988,21601_360ce1c7,0.919653
20421_49bd1188,20520_7e357152,0.999159,20421_38b63ca5,0.998717,20389_c835706f,0.994709,23028_2ca87745,0.919939,22196_e5bf8c9d,0.919889
20421_83f66ddc,21737_87d83240,0.919978,22061_b50b6b66,0.919948,20285_b64b1a7e,0.919934,21625_d5d4c9a7,0.919729,22078_1758e9fc,0.919561
20426_79358492,20466_4b3e5186,0.92,20927_826f4b56,0.919999,20429_4c909f3f,0.919999,20376_eefa9511,0.919997,21267_35a558cc,0.919997
20429_419c4cdd,20989_a261efa3,0.999963,20989_885bd9b9,0.999926,20216_89b90993,0.999919,20429_9dd95c38,0.999404,20451_557fe5cd,0.99835
20429_4c909f3f,20466_4b3e5186,0.999999,20376_eefa9511,0.999996,20231_f54462bb,0.999996,20479_77930584,0.999996,20392_8b23d193,0.999994
20429_9dd95c38,20216_89b90993,0.99974,20989_885bd9b9,0.999694,20429_419c4cdd,0.999404,20989_a261efa3,0.999155,20451_557fe5cd,0.995782
20430_975b8dcf,20636_ca9eb29a,0.919046,21979_29f59427,0.91209,20701_6dcbc975,0.911492,21580_b8b2571b,0.910676,19051_26735260,0.909671
20431_0088a0dd,22680_1f4026f6,0.919962,22729_232da678,0.919885,22045_ead71aca,0.919855,23374_57cca189,0.919837,21008_a3fec63b,0.919793
20431_27e7f151,23501_6c48b3c1,0.919673,20628_e0551f7c,0.919655,23473_1dfa6e40,0.919654,23121_cbdf3ebc,0.919625,23331_192866b6,0.919559
20436_41b730a3,20188_98b86c0f,0.919988,22862_f5406bb0,0.919981,20332_0c2a24aa,0.919977,20671_33532794,0.919974,20994_9c88b1ba,0.919965
20438_5f344b00,22367_b4a67e61,0.919982,22026_62afa265,0.919974,20429_9dd95c38,0.919956,22236_db209dff,0.919945,20822_5bb36119,0.919941
20440_27177360,20176_a02bde39,0.951774,21858_f1409ea2,0.919936,21503_34f299ca,0.919824,21365_ab403591,0.919793,23331_192866b6,0.919788
20451_557fe5cd,20451_84d8b290,1.0,20989_a261efa3,0.998686,20429_419c4cdd,0.99835,20989_885bd9b9,0.997692,20216_89b90993,0.997598
20451_84d8b290,20451_557fe5cd,1.0,20989_a261efa3,0.998686,20429_419c4cdd,0.99835,20989_885bd9b9,0.997692,20216_89b90993,0.997598
20466_4b3e5186,20429_4c909f3f,0.999999,20376_eefa9511,0.999997,20231_f54462bb,0.999997,20479_77930584,0.999997,20392_8b23d193,0.999993
20467_f1fcc009,21459_a9de5e5b,0.999987,22058_71feafda,0.919998,23311_ad36a9ec,0.919998,22349_6f67a96e,0.919997,23021_047d1f8a,0.919996
20468_1c33550a,20488_589ac9c0,0.999993,20342_c140780b,0.999979,20220_3de82b2a,0.999976,20392_8b23d193,0.999971,20291_42287610,0.999959
20469_b6211bfd,20291_42287610,0.999996,20220_3de82b2a,0.999969,20342_c140780b,0.999966,20392_8b23d193,0.999961,20231_f54462bb,0.99996
20477_633cca4f,22027_11a2e852,0.999434,20421_0fd51709,0.998941,21685_93737a7a,0.99348,22419_dfeb5d33,0.919946,21182_a480d230,0.919873
20478_c02790cb,20392_8b23d193,0.999958,20342_c140780b,0.999958,20429_4c909f3f,0.999955,20220_3de82b2a,0.999954,20376_eefa9511,0.999953
20479_77930584,20231_f54462bb,1.0,20376_eefa9511,1.0,20392_8b23d193,0.999998,20466_4b3e5186,0.999997,20429_4c909f3f,0.999996
20488_589ac9c0,20468_1c33550a,0.999993,20220_3de82b2a,0.99999,20342_c140780b,0.999988,20392_8b23d193,0.999982,20291_42287610,0.999974
20495_e8e7e80c,20259_de1ab632,0.999845,20193_2da4f0a0,0.999663,20241_8c0d3f83,0.999551,20241_ccb70dc8,0.999551,20332_0c2a24aa,0.999547
20500_e88d8065,20293_a1999339,0.997678,20622_38dd90d0,0.994383,20165_2b088be5,0.987181,20260_4a01a99d,0.976949,20533_0a3e112b,0.938796
20502_58b65de9,20237_06b27bf5,0.996462,22414_14ead4a3,0.91963,22638_37f9fe91,0.919565,21836_5bc91e49,0.919486,22654_4c426b0f,0.919274
20504_c9e14c9d,20157_db99ab88,0.999265,20414_a33bd0d7,0.995519,22218_2f85f6ae,0.919863,20215_e2eb3082,0.919735,20989_d1b8b0f8,0.919687
20505_017d4cc4,22612_28fe0ac2,0.999919,23451_14c8d09e,0.999892,21816_3891a442,0.999674,21552_4e9c19b1,0.999595,23372_4cb88567,0.999006
20511_e1b972aa,20329_414757bb,0.999958,20408_b4fda9eb,0.99974,20387_0d507234,0.999223,20628_e0551f7c,0.999163,20281_a29f9a18,0.998746
20520_7e357152,20421_49bd1188,0.999159,20421_38b63ca5,0.996186,20389_c835706f,0.992841,22134_5e72e871,0.919996,23308_245d257c,0.919994
20530_2246503a,20823_f144e996,0.999943,20788_d25efea2,0.999934,22448_1f21757a,0.999897,23417_9a9e9937,0.999878,23213_3df3cb34,0.999874
20533_0a3e112b,20260_4a01a99d,0.981983,20165_2b088be5,0.965119,20622_38dd90d0,0.961838,20293_a1999339,0.94941,20500_e88d8065,0.938796
20544_43691724,21926_b4c7068b,0.889216,23376_9b48819a,0.876844,20870_dedaef5b,0.863726,21519_3e869afd,0.853526,20746_57a7b346,0.840907
20546_87dbd755,21647_6b6cca6f,0.917997,22717_08784417,0.917034,22415_658c81dd,0.912225,22125_e3a4cad4,0.896647,23273_8f301ce3,0.835936
20547_ec8cfd0d,20586_cbec2689,0.657258,20860_b8e9a191,0.633329,20841_1620ae7d,0.520458,20246_40be7668,0.470166,21063_037107dc,0.46491
20551_ff28a959,21257_770fee9a,0.999874,22147_12995368,0.999716,20946_6573271d,0.999605,22129_48b47c52,0.9986,22154_24342da4,0.997397
20554_abcb705e,22199_8ec9eeb2,0.987297,22630_b6010fff,0.983595,21529_93e51dd9,0.919987,23372_4cb88567,0.919921,20215_e2eb3082,0.919716
20585_09b72895,22886_a6331748,0.999958,21248_0a862e3e,0.999958,22155_ab18f2b6,0.99995,20682_e208cc63,0.999914,22216_4b032400,0.999906
20586_cbec2689,20841_1620ae7d,0.852497,22825_f4c18d65,0.847644,20674_2fb6cabd,0.84674,23136_2b469508,0.841377,21599_80057f94,0.839525
