QueryAssembly,RetrievedAssembly,OntologySimilarity
21448_5646a1b6,23103_43bde2a6,1.0
21448_5646a1b6,22508_6bb410af,1.0
21448_5646a1b6,22283_36ba29c9,1.0
21448_5646a1b6,22236_db209dff,1.0
21448_5646a1b6,22304_33009be6,1.0
22312_3f366a4a,23178_eb4b4280,1.0
22312_3f366a4a,22762_dcbdd14d,1.0
22312_3f366a4a,22678_ff42f120,1.0
22312_3f366a4a,23259_d655fcc1,1.0
22312_3f366a4a,21497_9833a679,1.0
20756_75f43564,23158_c7e753c2,0.7999999999999999
20756_75f43564,20804_0dcacc66,0.7999999999999999
20756_75f43564,23006_92c5b990,0.7999999999999999
20756_75f43564,20958_94222947,0.7999999999999999
20756_75f43564,21761_fdb5f86d,0.7999999999999999
21708_e61bd657,22787_49022c32,0.7999999999999999
21708_e61bd657,21545_4384f96e,0.7999999999999999
21708_e61bd657,21718_1551037b,0.7999999999999999
21708_e61bd657,22670_9353c710,0.7999999999999999
21708_e61bd657,22079_31335df2,0.7999999999999999
23311_ad36a9ec,22349_6f67a96e,1.0
23311_ad36a9ec,22214_b098105d,1.0
23311_ad36a9ec,22891_b8c84495,1.0
23311_ad36a9ec,23199_75dc1efd,1.0
23311_ad36a9ec,22378_234fea2c,1.0
22680_1f4026f6,22162_439af02a,1.0
22680_1f4026f6,21282_b2d83538,1.0
22680_1f4026f6,21563_c72d37a2,1.0
22680_1f4026f6,22085_e039a7d3,1.0
22680_1f4026f6,21496_f4025ad5,1.0
21265_7329c813,22349_6f67a96e,1.0
21265_7329c813,22214_b098105d,1.0
21265_7329c813,22891_b8c84495,1.0
21265_7329c813,23199_75dc1efd,1.0
21265_7329c813,22378_234fea2c,1.0
22832_731d3b9f,20176_a02bde39,0.7999999999999999
22832_731d3b9f,22577_cd96733e,0.7999999999999999
22832_731d3b9f,23305_2662b29a,0.7999999999999999
22832_731d3b9f,23363_60e39812,0.7999999999999999
22832_731d3b9f,22017_6d3be48d,0.7999999999999999
23476_705b76d1,20176_a02bde39,0.7999999999999999
23476_705b76d1,22577_cd96733e,0.7999999999999999
23476_705b76d1,23305_2662b29a,0.7999999999999999
23476_705b76d1,23363_60e39812,0.7999999999999999
23476_705b76d1,22017_6d3be48d,0.7999999999999999
22131_6b4b60f8,22349_6f67a96e,1.0
22131_6b4b60f8,22214_b098105d,1.0
22131_6b4b60f8,22891_b8c84495,1.0
22131_6b4b60f8,23199_75dc1efd,1.0
22131_6b4b60f8,22378_234fea2c,1.0
20994_9c88b1ba,22349_6f67a96e,1.0
20994_9c88b1ba,22214_b098105d,1.0
20994_9c88b1ba,22891_b8c84495,1.0
20994_9c88b1ba,23199_75dc1efd,1.0
20994_9c88b1ba,22378_234fea2c,1.0
22026_62afa265,21448_5646a1b6,0.7999999999999999
22026_62afa265,20946_6573271d,0.7999999999999999
22026_62afa265,21825_ce32b0a0,0.7999999999999999
22026_62afa265,22136_a539c50b,0.7999999999999999
