assembly_name,neighbor_1,sim_1,neighbor_2,sim_2,neighbor_3,sim_3,neighbor_4,sim_4,neighbor_5,sim_5
21448_5646a1b6,21384_b9774b93,0.999982,21603_98a15295,0.999956,22367_b4a67e61,0.999899,22141_5db99710,0.999889,20609_69f28932,0.999889
22312_3f366a4a,23170_6ea8ded5,0.999985,21271_ec7f62b8,0.999938,22434_2ad62ed6,0.999914,21497_9833a679,0.999872,21958_e48ddf4e,0.99985
20756_75f43564,20803_473c87ac,0.999989,20802_802b7d69,0.999969,20341_6a1588fb,0.999969,22374_aa5bb54d,0.999968,20814_5a2be0fb,0.999963
21708_e61bd657,23162_7e2f3d77,0.998844,22630_b6010fff,0.995372,22082_39503fa6,0.994202,23226_8d1b5098,0.993931,23368_648717d8,0.993872
23311_ad36a9ec,22058_71feafda,0.999999,21581_8f948e0b,0.999999,20467_f1fcc009,0.999997,22843_cb38a007,0.999996,22843_ff77027f,0.999996
22680_1f4026f6,20431_0088a0dd,0.999936,22681_124bf3a9,0.999819,21837_b67d788c,0.999694,22078_1758e9fc,0.999671,22214_b098105d,0.999662
21265_7329c813,22653_58d6287d,0.999999,21785_d595ced5,0.999999,20741_c337946f,0.999998,21761_fdb5f86d,0.999998,21615_f2ecc6e8,0.999998
22832_731d3b9f,22987_37973191,0.999883,21790_aaf9224a,0.999581,20722_90d46353,0.999213,20157_db99ab88,0.998853,20239_49b65a55,0.998378
23476_705b76d1,22826_199df203,0.999979,20329_414757bb,0.999974,20322_daa5c577,0.999962,20676_9715ec9c,0.999942,23434_6635ed57,0.999909
22131_6b4b60f8,23321_c9497b79,0.999983,21976_807c9b26,0.999944,22043_041e1b7c,0.999816,23236_d5867507,0.999694,23342_7193a931,0.99962
20994_9c88b1ba,20340_86125547,0.999999,20332_0c2a24aa,0.999996,20814_5a2be0fb,0.999995,20241_ccb70dc8,0.999994,20241_8c0d3f83,0.999994
22026_62afa265,20429_9dd95c38,0.999995,22367_b4a67e61,0.999993,20438_5f344b00,0.999956,23438_b1ef78f4,0.999892,21448_5646a1b6,0.999885
22021_520ec8c3,22323_aa6edb8b,0.999092,23176_1bf2a2d5,0.998495,21745_56cbe841,0.998244,23136_2b469508,0.997589,22341_0f9c52ed,0.997579
20351_dc6e4e1e,23422_f214bd4d,0.989574,22483_f4e4b62a,0.985466,20246_40be7668,0.97833,22079_31335df2,0.966355,22076_20e8a107,0.964801
22218_2f85f6ae,23372_4cb88567,0.999939,20989_d1b8b0f8,0.999835,21529_93e51dd9,0.999816,23236_d5867507,0.999773,20504_c9e14c9d,0.999771
21810_718ae2fe,22140_9cda24cc,0.999972,22892_68138f24,0.999913,22241_535ad84b,0.99991,20682_e208cc63,0.999901,22057_4947db57,0.999873
20215_e2eb3082,22040_6461a147,0.999828,20504_c9e14c9d,0.999559,20554_abcb705e,0.999526,20789_1809f41f,0.999463,22837_7644c972,0.999452
22561_067b78ae,23037_d0df320c,0.999971,22983_0ab3faaf,0.999966,22762_dcbdd14d,0.999957,21271_ec7f62b8,0.999957,22678_ff42f120,0.999934
21421_fb12b69b,22430_c6f08b03,0.993422,21244_24c3ce72,0.987628,21582_a3d32115,0.986862,21236_b696e901,0.985337,22357_e2f7b060,0.983876
22082_39503fa6,21539_cfe1f7fd,0.997365,22630_b6010fff,0.997255,22266_078a1f68,0.997225,22474_b10fea1a,0.996844,22021_520ec8c3,0.996678
23308_245d257c,20520_7e357152,0.999989,22134_5e72e871,0.999982,21377_19909a40,0.999967,23128_cb135b1b,0.999954,22162_439af02a,0.999949
22844_9b75b8e0,21630_316322ff,1.0,21495_ebbbd369,0.999999,20934_fe7fbd78,0.999999,20838_86c931be,0.999999,22075_12b129d5,0.999999
20408_b4fda9eb,20229_d1ae2ae3,0.999987,21594_428d32af,0.999969,23505_161e8ec5,0.999966,22066_308cdcfe,0.99995,20849_9821b6fe,0.999944
21326_ab4d6c43,21224_18ba4aba,0.999968,20647_cea2e07c,0.999961,20646_4cd14a72,0.999948,22073_951645ae,0.999941,21737_87d83240,0.99993
22211_b1ee53f0,22306_c3dca308,0.9998,22065_0d414124,0.999074,23273_8f301ce3,0.997932,20818_098cad7c,0.997888,21797_69df08d5,0.997442
23211_3aac9c7e,23218_02d26ab4,0.99989,23244_34b5f55e,0.999828,20940_9777847c,0.999775,23194_b675acc0,0.999732,23236_d5867507,0.999712
20676_9715ec9c,23434_6635ed57,0.99999,20322_5a8c6077,0.999966,20329_414757bb,0.999964,22826_199df203,0.999955,20322_daa5c577,0.999948
20220_3de82b2a,22261_6efe61e3,0.999998,20342_c140780b,0.999997,20947_115d4058,0.999997,23351_6104d55d,0.999997,23403_e539620b,0.999997
22776_facf9bcf,22002_315afcfc,0.999937,20141_b9376856,0.999912,23373_f5dac851,0.999896,22341_0f9c52ed,0.999843,21745_56cbe841,0.999608
21837_b67d788c,21549_18160a0a,0.999906,20322_daa5c577,0.999871,23172_4ab01e83,0.999866,23213_3df3cb34,0.999861,23413_6702ec7f,0.999854
20668_b2f2633e,21739_57582b8f,0.999275,22764_b884dce6,0.998818,22402_a62e84b4,0.998806,21093_1bda9bbe,0.998751,22405_20f11d58,0.998711
21459_a9de5e5b,22075_12b129d5,0.999999,21495_ebbbd369,0.999998,22844_9b75b8e0,0.999998,20947_115d4058,0.999997,23351_6104d55d,0.999997
21386_e234c6b6,22812_cf865ed1,0.999966,22659_0e686e14,0.9999,21958_e48ddf4e,0.999899,22561_067b78ae,0.999893,22434_2ad62ed6,0.999878
22474_b10fea1a,22228_1c82530b,0.999719,22266_078a1f68,0.999498,21539_cfe1f7fd,0.99947,23132_1847c4ef,0.99837,22126_e1cca10f,0.997843
19051_26735260,21809_8bd6b10e,0.999384,21762_90d34d16,0.997051,21024_9be3d461,0.996079,20293_a1999339,0.995544,20701_6dcbc975,0.994477
20332_0c2a24aa,20994_9c88b1ba,0.999996,20340_86125547,0.999995,20241_8c0d3f83,0.999995,20241_ccb70dc8,0.999995,21422_b2a6bf27,0.999995
20807_88c198d5,21665_2e14b6ff,0.999984,20989_a261efa3,0.99998,20429_419c4cdd,0.999971,23103_43bde2a6,0.999942,20990_0a226634,0.999901
