query,query_family,retrieved,retrieved_family,similarity,q_component_count,r_component_count,q_rotational_sym,r_rotational_sym,q_material,r_material
21708_e61bd657,complex_assembly,20260_4a01a99d,high_complexity_rotor,0.999972,26,11,0,0,Steel,Steel
20351_dc6e4e1e,complex_assembly,22076_20e8a107,high_complexity_rotor,0.999742,30,20,0,0,Steel,Steel
19051_26735260,high_complexity_rotor,22535_0ba01cc9,complex_assembly,1.0,14,25,0,0,Steel,Steel
23422_f214bd4d,complex_assembly,21337_062b39fa,high_complexity_rotor,0.999991,34,2,0,0,Steel,Steel
23204_ff1672a9,complex_assembly,23376_9b48819a,high_complexity_rotor,0.999876,22,16,0,0,Steel,Steel
22242_4ceddc2b,complex_assembly,20182_71b9e491,medium_rotor,0.95,39,11,0,0,Steel,Steel
20430_975b8dcf,high_complexity_rotor,22079_31335df2,complex_assembly,0.999996,20,41,0,0,Steel,Steel
22652_dc7405ef,high_complexity_rotor,22065_0d414124,complex_assembly,0.999717,18,22,1,1,Steel,Steel
20636_ca9eb29a,high_complexity_rotor,21859_35124f79,complex_assembly,0.999803,20,40,0,0,Steel,Steel
21580_b8b2571b,high_complexity_rotor,21718_1551037b,complex_assembly,0.999975,17,27,0,0,Steel,Steel
21316_69ed56f5,complex_assembly,23511_8651ac1f,high_complexity_rotor,0.926963,45,14,1,1,Steel,Steel
22076_20e8a107,high_complexity_rotor,23422_f214bd4d,complex_assembly,0.999949,20,34,0,0,Steel,Steel
20165_2b088be5,high_complexity_rotor,22670_9353c710,complex_assembly,1.0,8,50,0,0,Steel,Steel
21557_53eafe15,complex_assembly,21809_8bd6b10e,high_complexity_rotor,0.999475,101,14,0,0,Steel,Steel
22483_f4e4b62a,complex_assembly,20668_b2f2633e,high_complexity_rotor,0.999951,37,3,0,0,Steel,Steel
21069_508a9947,complex_assembly,21700_28d193ac,high_complexity_rotor,0.999996,60,7,0,0,Steel,Steel
23376_9b48819a,high_complexity_rotor,23204_ff1672a9,complex_assembly,0.999876,16,22,0,0,Steel,Steel
22079_31335df2,complex_assembly,20430_975b8dcf,high_complexity_rotor,0.999996,41,20,0,0,Steel,Steel
22670_9353c710,complex_assembly,20165_2b088be5,high_complexity_rotor,1.0,50,8,0,0,Steel,Steel
21718_1551037b,complex_assembly,21580_b8b2571b,high_complexity_rotor,0.999975,27,17,0,0,Steel,Steel
21337_062b39fa,high_complexity_rotor,23422_f214bd4d,complex_assembly,0.999991,2,34,0,0,Steel,Steel
20246_40be7668,complex_assembly,21991_ab98f156,high_complexity_rotor,0.999985,21,5,0,0,Steel,Steel
20701_6dcbc975,high_complexity_rotor,22533_e7298b05,complex_assembly,0.999978,17,30,0,0,Steel,Steel
23511_8651ac1f,high_complexity_rotor,22415_658c81dd,complex_assembly,0.983326,14,39,1,1,Steel,Steel
21991_ab98f156,high_complexity_rotor,20246_40be7668,complex_assembly,0.999985,5,21,0,0,Steel,Steel
22535_0ba01cc9,complex_assembly,19051_26735260,high_complexity_rotor,1.0,25,14,0,0,Steel,Steel
22533_e7298b05,complex_assembly,20701_6dcbc975,high_complexity_rotor,0.999978,30,17,0,0,Steel,Steel
21700_28d193ac,high_complexity_rotor,21069_508a9947,complex_assembly,0.999996,7,60,0,0,Steel,Steel
