query_assembly,query_family,rank,retrieved_assembly,retrieved_family,similarity,correct
21448_5646a1b6,topo_minimal,1,21384_b9774b93,topo_moderate,1.0,False
21448_5646a1b6,topo_minimal,2,20758_cdccf572,topo_moderate,1.0,False
21448_5646a1b6,topo_minimal,3,22236_db209dff,topo_minimal,0.999998,True
21448_5646a1b6,topo_minimal,4,21990_7bb6efcf,topo_isolated,0.999985,False
21448_5646a1b6,topo_minimal,5,21810_718ae2fe,topo_moderate,0.999984,False
21448_5646a1b6,topo_minimal,6,20822_5bb36119,topo_isolated,0.999975,False
21448_5646a1b6,topo_minimal,7,21825_ce32b0a0,topo_minimal,0.999972,True
21448_5646a1b6,topo_minimal,8,23103_43bde2a6,topo_minimal,0.999971,True
21448_5646a1b6,topo_minimal,9,22367_b4a67e61,topo_minimal,0.999965,True
21448_5646a1b6,topo_minimal,10,21564_fa5b2db7,topo_isolated,0.999957,False
22312_3f366a4a,topo_connected,1,23037_d0df320c,topo_minimal,0.999997,False
22312_3f366a4a,topo_connected,2,23320_e0711ae9,topo_connected,0.999996,True
22312_3f366a4a,topo_connected,3,21271_ec7f62b8,topo_connected,0.999996,True
22312_3f366a4a,topo_connected,4,23127_38d73061,topo_complex,0.999994,False
22312_3f366a4a,topo_connected,5,21248_0a862e3e,topo_minimal,0.999981,False
22312_3f366a4a,topo_connected,6,23170_6ea8ded5,topo_moderate,0.999977,False
22312_3f366a4a,topo_connected,7,20585_09b72895,topo_moderate,0.999972,False
22312_3f366a4a,topo_connected,8,22678_ff42f120,topo_moderate,0.999967,False
22312_3f366a4a,topo_connected,9,22886_a6331748,topo_minimal,0.99996,False
22312_3f366a4a,topo_connected,10,22434_2ad62ed6,topo_minimal,0.999955,False
20756_75f43564,topo_minimal,1,22747_3f6faf4c,topo_connected,1.0,False
20756_75f43564,topo_minimal,2,23440_5956321f,topo_isolated,0.999999,False
20756_75f43564,topo_minimal,3,20810_f6674f2d,topo_isolated,0.999999,False
20756_75f43564,topo_minimal,4,20412_42170125,topo_moderate,0.999999,False
20756_75f43564,topo_minimal,5,20812_462bd352,topo_minimal,0.999999,True
20756_75f43564,topo_minimal,6,20212_5d1f2de1,topo_moderate,0.999999,False
20756_75f43564,topo_minimal,7,22671_fdd1b1e6,topo_connected,0.999999,False
20756_75f43564,topo_minimal,8,21617_ddd3657b,topo_isolated,0.999998,False
20756_75f43564,topo_minimal,9,21613_d57e983a,topo_isolated,0.999998,False
20756_75f43564,topo_minimal,10,23164_659c91ef,topo_connected,0.999998,False
21708_e61bd657,topo_moderate,1,22528_f3370a64,topo_isolated,0.999928,False
21708_e61bd657,topo_moderate,2,23002_4d53fb3f,topo_moderate,0.999878,True
21708_e61bd657,topo_moderate,3,23162_7e2f3d77,topo_connected,0.999869,False
21708_e61bd657,topo_moderate,4,22491_a33562ad,topo_complex,0.999868,False
21708_e61bd657,topo_moderate,5,21918_976c2754,topo_complex,0.999853,False
21708_e61bd657,topo_moderate,6,23123_f35404c4,topo_complex,0.999823,False
21708_e61bd657,topo_moderate,7,23083_fdb942ac,topo_connected,0.999819,False
21708_e61bd657,topo_moderate,8,21545_4384f96e,topo_moderate,0.999782,True
21708_e61bd657,topo_moderate,9,21986_67c5509a,topo_complex,0.999727,False
21708_e61bd657,topo_moderate,10,21700_28d193ac,topo_complex,0.999688,False
23311_ad36a9ec,topo_minimal,1,22843_ff77027f,topo_moderate,1.0,False
23311_ad36a9ec,topo_minimal,2,21047_60d69af3,topo_minimal,1.0,True
23311_ad36a9ec,topo_minimal,3,23439_18900af2,topo_minimal,1.0,True
23311_ad36a9ec,topo_minimal,4,22227_aca28ff2,topo_moderate,1.0,False
23311_ad36a9ec,topo_minimal,5,20467_f1fcc009,topo_isolated,1.0,False
23311_ad36a9ec,topo_minimal,6,22907_ff18dbd5,topo_moderate,1.0,False
23311_ad36a9ec,topo_minimal,7,21581_8f948e0b,topo_moderate,1.0,False
23311_ad36a9ec,topo_minimal,8,22058_71feafda,topo_isolated,0.999999,False
23311_ad36a9ec,topo_minimal,9,22843_cb38a007,topo_moderate,0.999999,False
23311_ad36a9ec,topo_minimal,10,23215_08a54de0,topo_moderate,0.999999,False
22680_1f4026f6,topo_moderate,1,21358_a69a36f3,topo_moderate,0.999999,True
22680_1f4026f6,topo_moderate,2,21202_e452c491,topo_isolated,0.999998,False
22680_1f4026f6,topo_moderate,3,21594_428d32af,topo_isolated,0.999997,False
22680_1f4026f6,topo_moderate,4,23035_6087bb57,topo_connected,0.999997,False
22680_1f4026f6,topo_moderate,5,23434_6635ed57,topo_connected,0.999996,False
22680_1f4026f6,topo_moderate,6,20329_414757bb,topo_connected,0.999995,False
22680_1f4026f6,topo_moderate,7,21563_c72d37a2,topo_moderate,0.999995,True
22680_1f4026f6,topo_moderate,8,20431_0088a0dd,topo_moderate,0.999994,True
22680_1f4026f6,topo_moderate,9,20322_5a8c6077,topo_moderate,0.999994,True
22680_1f4026f6,topo_moderate,10,22134_5e72e871,topo_complex,0.999993,False
21265_7329c813,topo_moderate,1,22014_5880c417,topo_moderate,0.999999,True
21265_7329c813,topo_moderate,2,23184_731e5af0,topo_moderate,0.999999,True
21265_7329c813,topo_moderate,3,21140_8d150c65,topo_minimal,0.999999,False
21265_7329c813,topo_moderate,4,23164_659c91ef,topo_connected,0.999999,False
21265_7329c813,topo_moderate,5,22653_58d6287d,topo_isolated,0.999999,False
21265_7329c813,topo_moderate,6,20468_1c33550a,topo_minimal,0.999999,False
21265_7329c813,topo_moderate,7,21761_fdb5f86d,topo_moderate,0.999999,True
21265_7329c813,topo_moderate,8,20741_c337946f,topo_minimal,0.999999,False
21265_7329c813,topo_moderate,9,22671_fdd1b1e6,topo_connected,0.999998,False
21265_7329c813,topo_moderate,10,21615_f2ecc6e8,topo_isolated,0.999998,False
22832_731d3b9f,topo_complex,1,22778_7d85debd,topo_complex,0.999995,True
22832_731d3b9f,topo_complex,2,22987_37973191,topo_complex,0.999993,True
22832_731d3b9f,topo_complex,3,22776_facf9bcf,topo_complex,0.99999,True
22832_731d3b9f,topo_complex,4,23121_cbdf3ebc,topo_moderate,0.999988,False
22832_731d3b9f,topo_complex,5,22323_aa6edb8b,topo_complex,0.999988,True
22832_731d3b9f,topo_complex,6,23473_1dfa6e40,topo_complex,0.999987,True
22832_731d3b9f,topo_complex,7,20505_017d4cc4,topo_connected,0.999986,False
22832_731d3b9f,topo_complex,8,23373_f5dac851,topo_complex,0.999985,True
22832_731d3b9f,topo_complex,9,20182_71b9e491,topo_connected,0.999983,False
22832_731d3b9f,topo_complex,10,20141_b9376856,topo_moderate,0.99998,False
23476_705b76d1,topo_connected,1,20892_b1f89c8d,topo_minimal,0.999985,False
23476_705b76d1,topo_connected,2,22045_ead71aca,topo_moderate,0.999985,False
23476_705b76d1,topo_connected,3,20322_daa5c577,topo_moderate,0.999985,False
23476_705b76d1,topo_connected,4,23501_6c48b3c1,topo_complex,0.999983,False
23476_705b76d1,topo_connected,5,22826_199df203,topo_connected,0.999981,True
23476_705b76d1,topo_connected,6,20322_5a8c6077,topo_moderate,0.999981,False
23476_705b76d1,topo_connected,7,22383_e5f707a7,topo_moderate,0.99998,False
23476_705b76d1,topo_connected,8,23214_0c411aa1,topo_connected,0.999978,True
23476_705b76d1,topo_connected,9,20329_414757bb,topo_connected,0.999977,True
23476_705b76d1,topo_connected,10,22784_bcace961,topo_isolated,0.999975,False
22131_6b4b60f8,topo_minimal,1,21610_5dcf1187,topo_isolated,1.0,False
22131_6b4b60f8,topo_minimal,2,21615_f2ecc6e8,topo_isolated,1.0,False
22131_6b4b60f8,topo_minimal,3,21612_e2981dae,topo_isolated,1.0,False
22131_6b4b60f8,topo_minimal,4,21619_19435db0,topo_isolated,1.0,False
22131_6b4b60f8,topo_minimal,5,21614_5d6afa62,topo_isolated,1.0,False
22131_6b4b60f8,topo_minimal,6,21613_d57e983a,topo_isolated,1.0,False
22131_6b4b60f8,topo_minimal,7,21617_ddd3657b,topo_isolated,1.0,False
22131_6b4b60f8,topo_minimal,8,22067_624b28e3,topo_moderate,0.999999,False
22131_6b4b60f8,topo_minimal,9,22671_fdd1b1e6,topo_connected,0.999999,False
22131_6b4b60f8,topo_minimal,10,23184_731e5af0,topo_moderate,0.999998,False
20994_9c88b1ba,topo_minimal,1,23351_6104d55d,topo_moderate,1.0,False
20994_9c88b1ba,topo_minimal,2,16550_e88d6986,topo_minimal,1.0,True
20994_9c88b1ba,topo_minimal,3,20342_c140780b,topo_isolated,1.0,False
20994_9c88b1ba,topo_minimal,4,23163_7b143a6f,topo_moderate,1.0,False
20994_9c88b1ba,topo_minimal,5,22178_976d2411,topo_minimal,1.0,True
20994_9c88b1ba,topo_minimal,6,22472_f65d3470,topo_isolated,1.0,False
20994_9c88b1ba,topo_minimal,7,20478_c02790cb,topo_minimal,1.0,True
20994_9c88b1ba,topo_minimal,8,20259_de1ab632,topo_minimal,0.999999,True
20994_9c88b1ba,topo_minimal,9,23199_75dc1efd,topo_minimal,0.999999,True
20994_9c88b1ba,topo_minimal,10,21495_ebbbd369,topo_moderate,0.999999,False
22026_62afa265,topo_minimal,1,22508_6bb410af,topo_minimal,0.975,True
22026_62afa265,topo_minimal,2,22283_36ba29c9,topo_minimal,0.974999,True
22026_62afa265,topo_minimal,3,21862_ec534e16,topo_minimal,0.974999,True
22026_62afa265,topo_minimal,4,21665_2e14b6ff,topo_isolated,0.974999,False
22026_62afa265,topo_minimal,5,22129_48b47c52,topo_minimal,0.974999,True
22026_62afa265,topo_minimal,6,20806_ca60b7ae,topo_minimal,0.974999,True
22026_62afa265,topo_minimal,7,22147_12995368,topo_moderate,0.974998,False
22026_62afa265,topo_minimal,8,20384_767d849a,topo_minimal,0.974998,True
22026_62afa265,topo_minimal,9,20429_9dd95c38,topo_isolated,0.974998,False
22026_62afa265,topo_minimal,10,20989_a261efa3,topo_isolated,0.974998,False
22021_520ec8c3,topo_complex,1,21049_f644930a,topo_connected,0.999992,False
22021_520ec8c3,topo_complex,2,22323_aa6edb8b,topo_complex,0.999989,True
22021_520ec8c3,topo_complex,3,22372_e91792a1,topo_connected,0.999989,False
22021_520ec8c3,topo_complex,4,23373_f5dac851,topo_complex,0.999986,True
22021_520ec8c3,topo_complex,5,22987_37973191,topo_complex,0.999979,True
22021_520ec8c3,topo_complex,6,22126_e1cca10f,topo_connected,0.999975,False
22021_520ec8c3,topo_complex,7,22778_7d85debd,topo_complex,0.99997,True
22021_520ec8c3,topo_complex,8,22832_731d3b9f,topo_complex,0.999962,True
22021_520ec8c3,topo_complex,9,22776_facf9bcf,topo_complex,0.999957,True
22021_520ec8c3,topo_complex,10,21503_34f299ca,topo_connected,0.999946,False
20351_dc6e4e1e,topo_connected,1,21450_ea24ffcc,topo_connected,0.998864,True
20351_dc6e4e1e,topo_connected,2,21718_1551037b,topo_moderate,0.997711,False
20351_dc6e4e1e,topo_connected,3,21244_24c3ce72,topo_complex,0.997247,False
20351_dc6e4e1e,topo_connected,4,21582_a3d32115,topo_moderate,0.99651,False
20351_dc6e4e1e,topo_connected,5,21421_fb12b69b,topo_complex,0.99595,False
20351_dc6e4e1e,topo_connected,6,22483_f4e4b62a,topo_complex,0.995675,False
20351_dc6e4e1e,topo_connected,7,20246_40be7668,topo_moderate,0.995129,False
20351_dc6e4e1e,topo_connected,8,22079_31335df2,topo_connected,0.994208,True
20351_dc6e4e1e,topo_connected,9,20746_57a7b346,topo_complex,0.99316,False
20351_dc6e4e1e,topo_connected,10,21236_b696e901,topo_complex,0.99243,False
22218_2f85f6ae,topo_connected,1,20817_ef63b1a7,topo_minimal,0.999997,False
22218_2f85f6ae,topo_connected,2,21695_1f33863f,topo_connected,0.999994,True
22218_2f85f6ae,topo_connected,3,23034_b38134ee,topo_connected,0.999994,True
