Subject,Predicate,Object
SimpleRotor,rdfs:subClassOf,EngineeringAssembly
SymmetricRotor,rdfs:subClassOf,EngineeringAssembly
MediumRotor,rdfs:subClassOf,EngineeringAssembly
HighComplexityRotor,rdfs:subClassOf,EngineeringAssembly
ComplexAssembly,rdfs:subClassOf,EngineeringAssembly
Steel,rdfs:subClassOf,EngineeringMaterial
Aluminum,rdfs:subClassOf,EngineeringMaterial
Plastic,rdfs:subClassOf,EngineeringMaterial
Wood,rdfs:subClassOf,EngineeringMaterial
Composite,rdfs:subClassOf,EngineeringMaterial
OtherEngineeringMaterial,rdfs:subClassOf,EngineeringMaterial
TopologyFeature,rdfs:subClassOf,EngineeringFeature
PhysicalFeature,rdfs:subClassOf,EngineeringFeature
StructuralFeature,rdfs:subClassOf,EngineeringFeature
EdgeCount,rdfs:subClassOf,TopologyFeature
FaceCount,rdfs:subClassOf,TopologyFeature
GeometricComplexity,rdfs:subClassOf,TopologyFeature
Mass,rdfs:subClassOf,PhysicalFeature
Volume,rdfs:subClassOf,PhysicalFeature
ComponentCount,rdfs:subClassOf,StructuralFeature
RotationalSymmetry,rdfs:subClassOf,StructuralFeature
