query_assembly,query_family,rank,retrieved_assembly,retrieved_family,similarity,correct
21448_5646a1b6,simple_rotor,1,22399_97987ada,symmetric_rotor,0.999999,False
21448_5646a1b6,simple_rotor,2,21386_e234c6b6,symmetric_rotor,0.999995,False
21448_5646a1b6,simple_rotor,3,22049_4da0d894,symmetric_rotor,0.999995,False
21448_5646a1b6,simple_rotor,4,22678_ff42f120,symmetric_rotor,0.999989,False
21448_5646a1b6,simple_rotor,5,21478_8fbd4409,symmetric_rotor,0.999989,False
21448_5646a1b6,simple_rotor,6,21037_62248d34,symmetric_rotor,0.999989,False
21448_5646a1b6,simple_rotor,7,20384_767d849a,simple_rotor,0.999989,True
21448_5646a1b6,simple_rotor,8,22236_db209dff,simple_rotor,0.999989,True
21448_5646a1b6,simple_rotor,9,22331_152ee5c0,high_complexity_rotor,0.99998,False
21448_5646a1b6,simple_rotor,10,20585_09b72895,symmetric_rotor,0.999977,False
22312_3f366a4a,symmetric_rotor,1,22421_19401bdd,high_complexity_rotor,1.0,False
22312_3f366a4a,symmetric_rotor,2,22304_33009be6,simple_rotor,0.999999,False
22312_3f366a4a,symmetric_rotor,3,23170_6ea8ded5,symmetric_rotor,0.999999,True
22312_3f366a4a,symmetric_rotor,4,22027_11a2e852,high_complexity_rotor,0.999995,False
22312_3f366a4a,symmetric_rotor,5,20697_d3e106b4,high_complexity_rotor,0.999995,False
22312_3f366a4a,symmetric_rotor,6,21958_e48ddf4e,symmetric_rotor,0.999995,True
22312_3f366a4a,symmetric_rotor,7,23155_d7305c5f,high_complexity_rotor,0.999989,False
22312_3f366a4a,symmetric_rotor,8,22241_535ad84b,simple_rotor,0.99998,False
22312_3f366a4a,symmetric_rotor,9,23329_6939d5d9,high_complexity_rotor,0.99998,False
22312_3f366a4a,symmetric_rotor,10,21849_a5f563a6,high_complexity_rotor,0.999977,False
20756_75f43564,simple_rotor,1,22377_d490f505,simple_rotor,1.0,True
20756_75f43564,simple_rotor,2,20802_802b7d69,simple_rotor,1.0,True
20756_75f43564,simple_rotor,3,20332_0c2a24aa,simple_rotor,1.0,True
20756_75f43564,simple_rotor,4,20340_86125547,simple_rotor,1.0,True
20756_75f43564,simple_rotor,5,20803_473c87ac,simple_rotor,1.0,True
20756_75f43564,simple_rotor,6,21590_7d092186,medium_rotor,1.0,False
20756_75f43564,simple_rotor,7,20994_9c88b1ba,simple_rotor,1.0,True
20756_75f43564,simple_rotor,8,20341_6a1588fb,simple_rotor,1.0,True
20756_75f43564,simple_rotor,9,22374_aa5bb54d,simple_rotor,1.0,True
20756_75f43564,simple_rotor,10,20814_5a2be0fb,simple_rotor,1.0,True
21708_e61bd657,complex_assembly,1,20431_0088a0dd,medium_rotor,0.999965,False
21708_e61bd657,complex_assembly,2,20260_4a01a99d,high_complexity_rotor,0.999965,False
21708_e61bd657,complex_assembly,3,20157_db99ab88,medium_rotor,0.999965,False
21708_e61bd657,complex_assembly,4,20430_975b8dcf,high_complexity_rotor,0.999928,False
21708_e61bd657,complex_assembly,5,21164_de08f61e,medium_rotor,0.999891,False
21708_e61bd657,complex_assembly,6,22079_31335df2,complex_assembly,0.999882,True
21708_e61bd657,complex_assembly,7,22630_b6010fff,medium_rotor,0.99983,False
21708_e61bd657,complex_assembly,8,20421_38b63ca5,medium_rotor,0.999671,False
21708_e61bd657,complex_assembly,9,21069_508a9947,complex_assembly,0.999584,True
21708_e61bd657,complex_assembly,10,21700_28d193ac,high_complexity_rotor,0.999484,False
23311_ad36a9ec,simple_rotor,1,20672_0bc07cce,simple_rotor,1.0,True
23311_ad36a9ec,simple_rotor,2,22843_ff77027f,simple_rotor,1.0,True
23311_ad36a9ec,simple_rotor,3,23502_5a80f907,medium_rotor,1.0,False
23311_ad36a9ec,simple_rotor,4,23048_8a1a5553,high_complexity_rotor,1.0,False
23311_ad36a9ec,simple_rotor,5,22528_f3370a64,high_complexity_rotor,1.0,False
23311_ad36a9ec,simple_rotor,6,20322_5a8c6077,medium_rotor,1.0,False
23311_ad36a9ec,simple_rotor,7,20231_f54462bb,simple_rotor,1.0,True
23311_ad36a9ec,simple_rotor,8,21884_cc2c39f9,medium_rotor,1.0,False
23311_ad36a9ec,simple_rotor,9,22405_20f11d58,high_complexity_rotor,1.0,False
23311_ad36a9ec,simple_rotor,10,21274_2fb8c3f5,simple_rotor,1.0,True
22680_1f4026f6,medium_rotor,1,22832_731d3b9f,medium_rotor,1.0,True
22680_1f4026f6,medium_rotor,2,22372_e91792a1,medium_rotor,1.0,True
22680_1f4026f6,medium_rotor,3,23376_9b48819a,high_complexity_rotor,0.999962,False
22680_1f4026f6,medium_rotor,4,23331_192866b6,medium_rotor,0.999896,True
22680_1f4026f6,medium_rotor,5,23204_ff1672a9,complex_assembly,0.999653,False
22680_1f4026f6,medium_rotor,6,22987_37973191,medium_rotor,0.999131,True
22680_1f4026f6,medium_rotor,7,20668_b2f2633e,high_complexity_rotor,0.998911,False
22680_1f4026f6,medium_rotor,8,21425_d0d47a2a,high_complexity_rotor,0.998911,False
22680_1f4026f6,medium_rotor,9,22483_f4e4b62a,complex_assembly,0.99833,False
22680_1f4026f6,medium_rotor,10,22376_3ebc82a2,medium_rotor,0.998247,True
21265_7329c813,simple_rotor,1,20672_0bc07cce,simple_rotor,1.0,True
21265_7329c813,simple_rotor,2,22843_ff77027f,simple_rotor,1.0,True
21265_7329c813,simple_rotor,3,23502_5a80f907,medium_rotor,1.0,False
21265_7329c813,simple_rotor,4,23048_8a1a5553,high_complexity_rotor,1.0,False
21265_7329c813,simple_rotor,5,22528_f3370a64,high_complexity_rotor,1.0,False
21265_7329c813,simple_rotor,6,20322_5a8c6077,medium_rotor,1.0,False
21265_7329c813,simple_rotor,7,20231_f54462bb,simple_rotor,1.0,True
21265_7329c813,simple_rotor,8,21884_cc2c39f9,medium_rotor,1.0,False
21265_7329c813,simple_rotor,9,22405_20f11d58,high_complexity_rotor,1.0,False
