query_assembly,query_family,rank,retrieved_assembly,retrieved_family,similarity,correct
21448_5646a1b6,topo_minimal,1,21384_b9774b93,topo_moderate,1.0,False
21448_5646a1b6,topo_minimal,2,20758_cdccf572,topo_moderate,1.0,False
21448_5646a1b6,topo_minimal,3,21469_abec26c4,topo_moderate,0.999999,False
21448_5646a1b6,topo_minimal,4,23103_66470b7e,topo_moderate,0.999999,False
21448_5646a1b6,topo_minimal,5,21391_78fc6345,topo_moderate,0.999999,False
21448_5646a1b6,topo_minimal,6,22377_d490f505,topo_moderate,0.999999,False
21448_5646a1b6,topo_minimal,7,23341_d5ead6d2,topo_moderate,0.999999,False
21448_5646a1b6,topo_minimal,8,21573_31a18ad0,topo_moderate,0.999999,False
21448_5646a1b6,topo_minimal,9,23096_7da0f913,topo_moderate,0.999998,False
21448_5646a1b6,topo_minimal,10,21882_795be793,topo_moderate,0.999998,False
22312_3f366a4a,topo_connected,1,22561_067b78ae,topo_moderate,0.999998,False
22312_3f366a4a,topo_connected,2,23037_d0df320c,topo_minimal,0.999997,False
22312_3f366a4a,topo_connected,3,23008_3d1bb7b2,topo_minimal,0.999996,False
22312_3f366a4a,topo_connected,4,23320_e0711ae9,topo_connected,0.999995,True
22312_3f366a4a,topo_connected,5,21271_ec7f62b8,topo_connected,0.999995,True
22312_3f366a4a,topo_connected,6,23127_38d73061,topo_complex,0.999994,False
22312_3f366a4a,topo_connected,7,22710_77324fc2,topo_moderate,0.999993,False
22312_3f366a4a,topo_connected,8,22059_b7d76712,topo_connected,0.999991,True
22312_3f366a4a,topo_connected,9,21837_b67d788c,topo_connected,0.99999,True
22312_3f366a4a,topo_connected,10,21513_50fb4d62,topo_connected,0.999984,True
20756_75f43564,topo_minimal,1,22747_3f6faf4c,topo_connected,1.0,False
20756_75f43564,topo_minimal,2,20910_c64b5d1b,topo_minimal,0.999999,True
20756_75f43564,topo_minimal,3,23440_5956321f,topo_isolated,0.999999,False
20756_75f43564,topo_minimal,4,20810_f6674f2d,topo_isolated,0.999999,False
20756_75f43564,topo_minimal,5,20412_42170125,topo_moderate,0.999999,False
20756_75f43564,topo_minimal,6,20812_462bd352,topo_minimal,0.999999,True
20756_75f43564,topo_minimal,7,20212_5d1f2de1,topo_moderate,0.999999,False
20756_75f43564,topo_minimal,8,22671_fdd1b1e6,topo_connected,0.999998,False
20756_75f43564,topo_minimal,9,21617_ddd3657b,topo_isolated,0.999998,False
20756_75f43564,topo_minimal,10,21613_d57e983a,topo_isolated,0.999998,False
21708_e61bd657,topo_moderate,1,22528_f3370a64,topo_isolated,0.99992,False
21708_e61bd657,topo_moderate,2,20421_0fd51709,topo_connected,0.99991,False
21708_e61bd657,topo_moderate,3,20697_d3e106b4,topo_complex,0.999908,False
21708_e61bd657,topo_moderate,4,23329_6939d5d9,topo_complex,0.999892,False
21708_e61bd657,topo_moderate,5,23168_7fdf5427,topo_complex,0.999867,False
21708_e61bd657,topo_moderate,6,23002_4d53fb3f,topo_moderate,0.999864,True
21708_e61bd657,topo_moderate,7,23419_ea47995f,topo_complex,0.999855,False
21708_e61bd657,topo_moderate,8,23162_7e2f3d77,topo_connected,0.999854,False
21708_e61bd657,topo_moderate,9,22491_a33562ad,topo_complex,0.999854,False
21708_e61bd657,topo_moderate,10,21918_976c2754,topo_complex,0.999837,False
23311_ad36a9ec,topo_minimal,1,22843_ff77027f,topo_moderate,1.0,False
23311_ad36a9ec,topo_minimal,2,21047_60d69af3,topo_minimal,1.0,True
23311_ad36a9ec,topo_minimal,3,23439_18900af2,topo_minimal,1.0,True
23311_ad36a9ec,topo_minimal,4,22227_aca28ff2,topo_moderate,1.0,False
23311_ad36a9ec,topo_minimal,5,20467_f1fcc009,topo_isolated,1.0,False
23311_ad36a9ec,topo_minimal,6,22907_ff18dbd5,topo_moderate,1.0,False
23311_ad36a9ec,topo_minimal,7,20385_f2d30908,topo_minimal,1.0,True
23311_ad36a9ec,topo_minimal,8,21581_8f948e0b,topo_moderate,1.0,False
23311_ad36a9ec,topo_minimal,9,20216_89b90993,topo_minimal,1.0,True
23311_ad36a9ec,topo_minimal,10,22058_71feafda,topo_isolated,0.999999,False
22680_1f4026f6,topo_moderate,1,21358_a69a36f3,topo_moderate,0.999999,True
22680_1f4026f6,topo_moderate,2,21202_e452c491,topo_isolated,0.999997,False
22680_1f4026f6,topo_moderate,3,21594_428d32af,topo_isolated,0.999997,False
22680_1f4026f6,topo_moderate,4,20676_9715ec9c,topo_minimal,0.999997,False
22680_1f4026f6,topo_moderate,5,20520_7e357152,topo_isolated,0.999997,False
22680_1f4026f6,topo_moderate,6,23035_6087bb57,topo_connected,0.999997,False
22680_1f4026f6,topo_moderate,7,23434_6635ed57,topo_connected,0.999995,False
22680_1f4026f6,topo_moderate,8,20329_414757bb,topo_connected,0.999995,False
22680_1f4026f6,topo_moderate,9,21563_c72d37a2,topo_moderate,0.999994,True
22680_1f4026f6,topo_moderate,10,20431_0088a0dd,topo_moderate,0.999993,True
21265_7329c813,topo_moderate,1,23039_b3d04774,topo_moderate,1.0,True
21265_7329c813,topo_moderate,2,22014_5880c417,topo_moderate,0.999999,True
21265_7329c813,topo_moderate,3,23184_731e5af0,topo_moderate,0.999999,True
21265_7329c813,topo_moderate,4,21140_8d150c65,topo_minimal,0.999999,False
21265_7329c813,topo_moderate,5,23164_659c91ef,topo_connected,0.999999,False
21265_7329c813,topo_moderate,6,22367_b4a67e61,topo_minimal,0.999999,False
21265_7329c813,topo_moderate,7,22653_58d6287d,topo_isolated,0.999999,False
21265_7329c813,topo_moderate,8,21785_d595ced5,topo_minimal,0.999999,False
21265_7329c813,topo_moderate,9,20468_1c33550a,topo_minimal,0.999999,False
21265_7329c813,topo_moderate,10,21761_fdb5f86d,topo_moderate,0.999999,True
22832_731d3b9f,topo_complex,1,22778_7d85debd,topo_complex,0.999994,True
22832_731d3b9f,topo_complex,2,22987_37973191,topo_complex,0.999992,True
22832_731d3b9f,topo_complex,3,22776_facf9bcf,topo_complex,0.999989,True
22832_731d3b9f,topo_complex,4,20431_27e7f151,topo_connected,0.999989,False
22832_731d3b9f,topo_complex,5,23121_cbdf3ebc,topo_moderate,0.999987,False
22832_731d3b9f,topo_complex,6,22323_aa6edb8b,topo_complex,0.999986,True
22832_731d3b9f,topo_complex,7,23473_1dfa6e40,topo_complex,0.999985,True
22832_731d3b9f,topo_complex,8,20505_017d4cc4,topo_connected,0.999984,False
22832_731d3b9f,topo_complex,9,23373_f5dac851,topo_complex,0.999983,True
22832_731d3b9f,topo_complex,10,20182_71b9e491,topo_connected,0.999981,False
23476_705b76d1,topo_connected,1,23152_6f2706c9,topo_moderate,0.999996,False
23476_705b76d1,topo_connected,2,22232_cb53774e,topo_connected,0.99999,True
23476_705b76d1,topo_connected,3,21185_ac5324ba,topo_moderate,0.999984,False
23476_705b76d1,topo_connected,4,20892_b1f89c8d,topo_minimal,0.999984,False
23476_705b76d1,topo_connected,5,22045_ead71aca,topo_moderate,0.999984,False
23476_705b76d1,topo_connected,6,20322_daa5c577,topo_moderate,0.999983,False
23476_705b76d1,topo_connected,7,20157_db99ab88,topo_moderate,0.999982,False
23476_705b76d1,topo_connected,8,23501_6c48b3c1,topo_complex,0.999981,False
23476_705b76d1,topo_connected,9,20504_c9e14c9d,topo_connected,0.99998,True
23476_705b76d1,topo_connected,10,22826_199df203,topo_connected,0.999979,True
22131_6b4b60f8,topo_minimal,1,21610_5dcf1187,topo_isolated,1.0,False
22131_6b4b60f8,topo_minimal,2,21615_f2ecc6e8,topo_isolated,1.0,False
22131_6b4b60f8,topo_minimal,3,21612_e2981dae,topo_isolated,1.0,False
22131_6b4b60f8,topo_minimal,4,21619_19435db0,topo_isolated,1.0,False
22131_6b4b60f8,topo_minimal,5,21614_5d6afa62,topo_isolated,1.0,False
22131_6b4b60f8,topo_minimal,6,21613_d57e983a,topo_isolated,1.0,False
22131_6b4b60f8,topo_minimal,7,21617_ddd3657b,topo_isolated,0.999999,False
22131_6b4b60f8,topo_minimal,8,22067_624b28e3,topo_moderate,0.999999,False
22131_6b4b60f8,topo_minimal,9,22671_fdd1b1e6,topo_connected,0.999999,False
22131_6b4b60f8,topo_minimal,10,23184_731e5af0,topo_moderate,0.999997,False
20994_9c88b1ba,topo_minimal,1,23351_6104d55d,topo_moderate,1.0,False
20994_9c88b1ba,topo_minimal,2,16550_e88d6986,topo_minimal,1.0,True
20994_9c88b1ba,topo_minimal,3,20947_115d4058,topo_isolated,1.0,False
20994_9c88b1ba,topo_minimal,4,20342_c140780b,topo_isolated,1.0,False
20994_9c88b1ba,topo_minimal,5,23250_aa321310,topo_moderate,1.0,False
20994_9c88b1ba,topo_minimal,6,19518_f220b68a,topo_isolated,1.0,False
20994_9c88b1ba,topo_minimal,7,20429_9dd95c38,topo_isolated,1.0,False
20994_9c88b1ba,topo_minimal,8,23163_7b143a6f,topo_moderate,1.0,False
20994_9c88b1ba,topo_minimal,9,22178_976d2411,topo_minimal,1.0,True
20994_9c88b1ba,topo_minimal,10,22472_f65d3470,topo_isolated,1.0,False
22026_62afa265,topo_minimal,1,20951_2918f2fa,topo_moderate,1.0,False
22026_62afa265,topo_minimal,2,21459_a9de5e5b,topo_isolated,1.0,False
22026_62afa265,topo_minimal,3,20838_86c931be,topo_minimal,1.0,True
22026_62afa265,topo_minimal,4,20193_2da4f0a0,topo_minimal,1.0,True
22026_62afa265,topo_minimal,5,21495_ebbbd369,topo_moderate,1.0,False
22026_62afa265,topo_minimal,6,20478_c02790cb,topo_minimal,1.0,True
22026_62afa265,topo_minimal,7,22508_6bb410af,topo_minimal,1.0,True
22026_62afa265,topo_minimal,8,22472_f65d3470,topo_isolated,0.999999,False
22026_62afa265,topo_minimal,9,22075_12b129d5,topo_isolated,0.999999,False
22026_62afa265,topo_minimal,10,21806_616e985a,topo_isolated,0.999999,False
22021_520ec8c3,topo_complex,1,21049_f644930a,topo_connected,0.999992,False
22021_520ec8c3,topo_complex,2,22323_aa6edb8b,topo_complex,0.999988,True
22021_520ec8c3,topo_complex,3,22372_e91792a1,topo_connected,0.999988,False
22021_520ec8c3,topo_complex,4,23373_f5dac851,topo_complex,0.999984,True
22021_520ec8c3,topo_complex,5,22987_37973191,topo_complex,0.999977,True
22021_520ec8c3,topo_complex,6,22126_e1cca10f,topo_connected,0.999972,False
22021_520ec8c3,topo_complex,7,22778_7d85debd,topo_complex,0.999967,True
22021_520ec8c3,topo_complex,8,22832_731d3b9f,topo_complex,0.999958,True
22021_520ec8c3,topo_complex,9,22776_facf9bcf,topo_complex,0.999952,True
22021_520ec8c3,topo_complex,10,21503_34f299ca,topo_connected,0.99994,False
20351_dc6e4e1e,topo_connected,1,21450_ea24ffcc,topo_connected,0.998738,True
20351_dc6e4e1e,topo_connected,2,23258_87a2ba81,topo_complex,0.997779,False
20351_dc6e4e1e,topo_connected,3,21718_1551037b,topo_moderate,0.997457,False
20351_dc6e4e1e,topo_connected,4,21244_24c3ce72,topo_complex,0.996941,False
20351_dc6e4e1e,topo_connected,5,20737_5249e274,topo_connected,0.996236,True
20351_dc6e4e1e,topo_connected,6,21582_a3d32115,topo_moderate,0.996122,False
20351_dc6e4e1e,topo_connected,7,21421_fb12b69b,topo_complex,0.995499,False
20351_dc6e4e1e,topo_connected,8,22483_f4e4b62a,topo_complex,0.995194,False
20351_dc6e4e1e,topo_connected,9,20246_40be7668,topo_moderate,0.994588,False
20351_dc6e4e1e,topo_connected,10,20745_3e22ad07,topo_moderate,0.994192,False
22218_2f85f6ae,topo_connected,1,20554_abcb705e,topo_moderate,0.999999,False
22218_2f85f6ae,topo_connected,2,20431_0088a0dd,topo_moderate,0.999998,False
22218_2f85f6ae,topo_connected,3,20817_ef63b1a7,topo_minimal,0.999997,False
