alpha_technical,beta_semantic,gamma_structural,MRR,P@5
0.0,0.2,0.8,0.9761,0.9512
0.0,0.3,0.7,0.9761,0.9515
0.0,0.4,0.6,0.9761,0.9517
0.0,0.5,0.5,0.9761,0.9517
0.0,0.6,0.4,0.9761,0.9515
0.0,0.7,0.3,0.9761,0.9509
0.0,0.8,0.2,0.976,0.9504
0.0,0.9,0.1,0.976,0.9504
0.1,0.2,0.7,0.9759,0.9456
0.1,0.3,0.6,0.9752,0.9456
0.1,0.4,0.5,0.9752,0.9461
0.1,0.5,0.4,0.975,0.945
0.2,0.5,0.3,0.975,0.9426
0.3,0.3,0.4,0.9749,0.9424
0.1,0.1,0.8,0.9743,0.9448
0.0,0.1,0.9,0.9742,0.9504
0.3,0.2,0.5,0.9742,0.9421
0.2,0.4,0.4,0.9741,0.9437
0.1,0.8,0.1,0.974,0.9416
0.1,0.7,0.2,0.9739,0.9434
0.3,0.4,0.3,0.9739,0.9418
0.1,0.6,0.3,0.9736,0.9445
0.2,0.2,0.6,0.9736,0.9445
0.2,0.3,0.5,0.9736,0.944
0.2,0.6,0.2,0.973,0.941
0.4,0.2,0.4,0.9728,0.9402
0.4,0.1,0.5,0.9727,0.9386
0.3,0.5,0.2,0.9727,0.9416
0.4,0.3,0.3,0.9724,0.9408
0.5,0.2,0.3,0.9713,0.9386
0.2,0.1,0.7,0.9713,0.9426
0.2,0.7,0.1,0.9712,0.9405
0.5,0.1,0.4,0.9711,0.9383
0.4,0.4,0.2,0.9711,0.9408
0.3,0.1,0.6,0.971,0.9402
0.4,0.5,0.1,0.9703,0.9389
0.3,0.6,0.1,0.9691,0.9389
0.5,0.4,0.1,0.9686,0.9367
0.6,0.3,0.1,0.9684,0.9354
0.6,0.1,0.3,0.9682,0.9375
0.7,0.2,0.1,0.968,0.9357
0.5,0.3,0.2,0.968,0.9386
0.6,0.2,0.2,0.9677,0.9373
0.7,0.1,0.2,0.9672,0.9373
0.8,0.1,0.1,0.9666,0.9357
0.3,0.7,0.0,0.9543,0.9078
0.4,0.6,0.0,0.9543,0.9078
0.2,0.8,0.0,0.9543,0.9078
0.1,0.9,0.0,0.9543,0.9078
0.5,0.5,0.0,0.9534,0.9072
0.6,0.4,0.0,0.953,0.9064
0.7,0.3,0.0,0.953,0.9059
0.8,0.2,0.0,0.9521,0.9056
0.9,0.1,0.0,0.9517,0.9048
0.0,1.0,0.0,0.9466,0.9035
0.5,0.0,0.5,0.9345,0.8456
0.7,0.0,0.3,0.9341,0.8547
0.6,0.0,0.4,0.9341,0.8504
0.8,0.0,0.2,0.934,0.8609
0.4,0.0,0.6,0.9326,0.8421
0.3,0.0,0.7,0.9304,0.8399
0.9,0.0,0.1,0.929,0.8635
0.2,0.0,0.8,0.9256,0.8279
0.1,0.0,0.9,0.9184,0.8147
1.0,0.0,0.0,0.9153,0.8287
0.0,0.0,1.0,0.6375,0.4091
